symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GLAND,2022-01-06 22:43:01,2021-09-30,False,58.02,41.97,10.98,0.38,11.01,22.76,0.0
GLAND,2022-01-13 11:10:06,2021-12-31,False,58.0,42.0,10.55,0.65,11.3,22.96,0.0
GLAND,2022-04-15 18:40:29,2022-03-31,False,58.0,42.0,11.22,0.72,10.72,23.18,0.0
GLAND,2022-07-14 13:40:08,2022-06-30,False,57.87,42.13,15.54,1.17,9.41,26.77,0.0
GLAND,2022-10-18 14:40:17,2022-09-30,False,57.86,42.14,18.48,2.1,6.1,21.93,0.0
GLAND,2023-01-11 18:10:20,2022-12-31,False,57.86,42.14,19.49,2.59,4.67,23.13,0.0
GLAND,2023-04-14 15:17:35,2023-03-31,False,57.86,42.14,20.25,2.02,4.33,23.23,0.0
GLAND,2023-07-17 16:31:02,2023-06-30,False,57.86,42.14,20.48,1.8,2.8,23.38,0.0
GLAND,2023-10-18 12:38:20,2023-09-30,False,57.86,42.14,19.79,1.79,4.91,22.45,0.0
GLAND,2024-01-12 15:41:48,2023-12-31,False,57.86,42.14,21.34,1.8,4.04,24.17,0.0
GLAND,2024-04-15 12:30:26,2024-03-31,False,57.86,42.14,23.01,1.21,3.59,25.23,0.0
GLAND,2024-08-09 10:39:19,2024-06-30,False,51.83,48.17,30.53,1.29,6.88,32.83,0.0
GLAND,2024-11-18 12:41:19,2024-09-30,False,51.83,48.17,32.83,1.5,4.47,35.37,0.0
GLAND,2025-01-20 17:55:33,2024-12-31,False,51.83,48.17,32.37,1.38,5.04,34.8,0.0
GLAND,2025-04-16 15:38:57,2025-03-31,False,51.83,48.17,31.16,1.32,6.9,33.27,0.0
GLAND,2025-07-18 15:12:23,2025-06-30,False,51.83,48.17,30.67,1.27,7.39,32.85,
GLAND,2025-10-15 12:41:35,2025-09-30,False,51.83,48.17,30.19,1.29,7.91,32.64,
GLAND,2026-01-16 17:27:00,2025-12-31,False,51.83,48.17,31.419999999999998,1.3299999999999998,7.580000000000001,32.98,
GLAND,2026-04-17 16:10:16,2026-03-31,False,51.83,48.17,31.78,1.35,7.3,33.35,
GLAND,2026-07-20 17:53:19,2026-06-30,False,51.77,48.23,28.23,1.28,8.74,30.44,
