symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GMRAIRPORT,2022-01-06 21:06:51,2021-09-30,False,60.5,39.5,0.87,0.0,26.91,29.18,64.82
GMRAIRPORT,2022-01-20 13:10:16,2021-12-31,False,59.83,40.17,0.73,0.0,28.21,30.17,61.24
GMRAIRPORT,2022-04-21 13:40:38,2022-03-31,False,58.9,41.1,1.21,0.0,27.66,30.11,67.93
GMRAIRPORT,2022-07-21 17:10:14,2022-06-30,False,58.9,41.1,0.88,0.0,27.8,29.91,68.03
GMRAIRPORT,2022-10-21 18:10:43,2022-09-30,False,58.9,41.1,0.96,1.72,27.85,3.91,74.86
GMRAIRPORT,2023-01-19 18:10:34,2022-12-31,False,58.9,41.1,1.28,1.72,27.83,4.23,67.17
GMRAIRPORT,2023-04-21 18:51:58,2023-03-31,False,59.0,41.0,1.16,1.72,28.36,4.11,70.27
GMRAIRPORT,2023-07-21 14:48:42,2023-06-30,False,59.07,40.93,1.48,1.72,28.15,4.43,71.0
GMRAIRPORT,2024-01-19 19:51:18,2023-12-31,False,59.07,40.93,2.27,1.72,27.38,5.23,63.35
GMRAIRPORT,2024-04-20 11:31:55,2024-03-31,False,59.07,40.93,3.11,1.73,26.78,6.08,58.23
GMRAIRPORT,2024-05-08 19:03:07,2023-09-30,False,59.07,40.93,1.33,1.72,28.0,4.32,68.68
GMRAIRPORT,2024-07-19 20:16:22,2024-07-10,False,49.88,50.12,2.31,1.49,21.94,4.86,58.03
GMRAIRPORT,2024-08-03 19:15:42,2024-07-25,False,66.07,33.93,1.66,1.02,14.76,3.39,27.69
GMRAIRPORT,2024-10-21 20:56:24,2024-09-30,False,66.07,33.93,2.69,1.05,14.81,4.47,27.09
GMRAIRPORT,2025-01-20 12:22:46,2024-06-30,False,59.07,40.93,2.74,1.76,25.98,5.76,58.03
GMRAIRPORT,2025-01-21 17:46:51,2024-12-31,False,66.07,33.93,2.53,1.06,14.85,4.33,29.46
GMRAIRPORT,2025-04-19 17:23:15,2025-03-31,False,66.24,33.76,2.4,1.05,15.09,4.13,17.75
GMRAIRPORT,2025-07-21 20:01:59,2025-06-30,False,66.24,33.76,2.68,1.11,15.74,4.45,16.61
GMRAIRPORT,2025-10-19 22:00:51,2025-09-30,False,66.24,33.76,3.06,0.91,17.080000000000002,4.81,16.61
GMRAIRPORT,2026-01-21 17:32:29,2025-12-31,False,66.24,33.76,2.42,1.26,18.96,4.590000000000001,15.509999999999998
GMRAIRPORT,2026-04-21 21:04:59,2026-03-31,False,66.33,33.67,2.32,1.28,20.16,4.93,15.49
GMRAIRPORT,2026-07-21 22:13:37,2026-06-30,False,67.16,32.84,2.5100000000000002,1.02,21.740000000000002,5.13,16.439999999999998
