symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GODREJCP,2022-01-07 00:55:01,2021-09-30,False,63.22,36.78,2.4,2.04,26.21,30.81,0.66
GODREJCP,2022-01-18 13:40:14,2021-12-31,False,63.22,36.78,2.66,2.19,25.63,30.65,0.66
GODREJCP,2022-04-21 16:10:40,2022-03-31,False,63.22,36.78,3.69,2.02,24.16,30.09,0.66
GODREJCP,2022-07-20 19:10:18,2022-06-30,False,63.22,36.78,3.78,2.13,24.03,30.08,0.66
GODREJCP,2022-10-18 17:40:29,2022-09-30,False,63.22,36.78,3.75,1.99,24.43,6.47,0.66
GODREJCP,2023-01-19 17:40:26,2022-12-31,False,63.21,36.79,3.83,2.06,24.04,6.73,0.66
GODREJCP,2023-04-20 20:00:29,2023-03-31,False,63.21,36.79,3.88,2.41,23.72,7.12,0.66
GODREJCP,2023-07-21 16:38:54,2023-06-30,False,63.21,36.79,4.24,2.18,23.53,7.38,0.66
GODREJCP,2023-10-20 12:26:00,2023-09-30,False,63.21,36.79,4.8,1.98,23.52,7.65,0.66
GODREJCP,2024-01-17 17:46:05,2023-12-31,False,63.21,36.79,5.15,2.13,22.95,8.39,0.66
GODREJCP,2024-04-19 17:53:53,2024-03-31,False,63.21,36.79,5.56,2.21,22.56,8.95,0.66
GODREJCP,2024-07-18 22:03:18,2024-06-30,False,63.01,36.99,5.89,2.21,22.42,9.3,0.66
GODREJCP,2024-10-21 13:16:42,2024-09-30,False,63.0,37.0,6.15,2.0,22.03,9.61,0.66
GODREJCP,2025-01-15 18:42:07,2024-12-31,False,53.04,46.96,7.37,1.93,20.68,11.04,0.79
GODREJCP,2025-04-17 16:54:47,2025-03-31,False,53.07,46.93,8.32,2.07,19.54,12.2,0.79
GODREJCP,2025-12-08 16:57:21,2025-06-30,False,53.07,46.93,8.129999999999999,2.16,19.35,12.4,0.79
GODREJCP,2026-01-19 16:22:09,2025-09-30,False,53.06,46.94,8.08,2.86,18.240000000000002,13.58,0.79
GODREJCP,2026-01-20 21:01:23,2025-12-31,False,53.05,46.95,9.6,4.2,15.409999999999998,16.48,0.79
GODREJCP,2026-04-21 00:11:36,2026-03-31,False,53.05,46.95,9.73,5.26,13.94,18.0,0.79
GODREJCP,2026-07-23 11:32:18,2026-06-30,False,53.05,46.95,10.76,5.3100000000000005,12.33,19.59,0.79
