symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GODREJPROP,2022-01-07 02:25:01,2021-09-30,False,58.43,41.57,2.99,0.0,30.02,34.35,0.0
GODREJPROP,2022-01-20 18:40:16,2021-12-31,False,58.43,41.57,2.76,0.0,29.85,33.94,0.0
GODREJPROP,2022-04-18 18:40:36,2022-03-31,False,58.43,41.57,2.77,0.0,28.38,32.94,0.0
GODREJPROP,2022-07-19 18:40:20,2022-06-30,False,58.43,41.57,2.71,0.0,27.73,32.65,0.0
GODREJPROP,2022-10-18 13:10:20,2022-09-30,False,58.48,41.52,2.67,1.87,27.5,4.54,0.0
GODREJPROP,2023-01-20 13:10:27,2022-12-31,False,58.48,41.52,2.61,1.79,27.41,4.56,0.0
GODREJPROP,2023-04-17 15:28:11,2023-03-31,False,58.48,41.52,2.72,1.82,27.09,4.69,0.0
GODREJPROP,2023-07-17 16:08:08,2023-06-30,False,58.48,41.52,2.46,1.73,28.85,4.3,0.0
GODREJPROP,2023-10-19 17:08:01,2023-09-30,False,58.48,41.52,2.23,1.82,29.25,4.61,0.0
GODREJPROP,2024-01-16 15:04:50,2023-12-31,False,58.48,41.52,2.21,1.86,29.73,4.7,0.0
GODREJPROP,2024-04-18 14:50:11,2024-03-31,False,58.48,41.52,3.24,1.7,29.67,5.55,0.0
GODREJPROP,2024-07-18 16:23:43,2024-06-30,False,58.48,41.52,3.17,1.84,29.91,5.63,0.0
GODREJPROP,2024-10-22 11:35:56,2021-03-16,False,58.44,41.56,3.86,0.0,28.2,33.41,0.0
GODREJPROP,2024-10-22 11:36:42,2020-12-31,False,64.44,35.56,4.4,0.0,20.21,25.77,0.0
GODREJPROP,2024-10-22 11:37:29,2020-09-30,False,64.44,35.56,4.25,0.0,19.81,25.04,0.0
GODREJPROP,2024-10-22 11:37:59,2020-06-30,False,64.44,35.56,3.92,0.0,20.05,24.77,0.0
GODREJPROP,2024-10-22 11:39:37,2020-03-31,False,64.45,35.55,4.26,0.0,19.25,24.22,0.0
GODREJPROP,2024-10-22 11:39:49,2019-12-31,False,64.45,35.55,4.23,0.0,19.12,23.91,0.0
GODREJPROP,2024-10-22 11:40:00,2019-09-30,False,64.45,35.55,3.31,0.0,20.23,24.02,
GODREJPROP,2024-10-22 11:40:29,2019-06-30,False,64.45,35.55,2.67,0.09,20.3,23.1,
GODREJPROP,2024-10-22 11:40:43,2019-06-29,False,64.45,35.55,2.67,0.09,20.3,23.1,
GODREJPROP,2024-10-22 11:42:27,2019-03-31,False,70.83,29.17,1.6,0.0,13.79,15.43,
GODREJPROP,2024-10-25 13:09:59,2024-09-30,False,58.48,41.52,4.36,1.96,28.33,7.12,0.0
GODREJPROP,2024-12-03 01:16:28,2024-12-03,False,46.48,53.52,5.66,2.2,31.09,9.24,0.0
GODREJPROP,2025-01-20 17:47:32,2024-12-31,False,46.5,53.5,5.66,2.12,30.85,9.4,0.0
GODREJPROP,2025-04-17 13:55:43,2025-03-31,False,46.67,53.33,5.51,2.18,30.54,9.33,0.0
GODREJPROP,2025-07-17 19:08:52,2025-06-30,False,46.7,53.3,6.04,2.06,30.54,9.07,
GODREJPROP,2025-10-15 17:35:02,2025-09-30,False,47.05,52.95,7.290000000000001,2.15,28.310000000000002,10.43,
GODREJPROP,2026-01-12 15:35:29,2025-12-31,False,47.17,52.83,7.380000000000001,2.5100000000000002,28.139999999999997,10.780000000000001,
GODREJPROP,2026-04-17 16:35:02,2026-03-31,False,51.66,48.34,5.45,2.08,26.169999999999998,8.200000000000001,
GODREJPROP,2026-07-17 17:26:56,2026-06-30,False,51.66,48.34,6.23,2.12,25.330000000000002,9.02,
