symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GVKPIL,2022-01-06 21:06:51,2021-09-30,False,54.25,45.75,0.0,0.0,0.27,0.29,0.0
GVKPIL,2022-01-07 12:40:12,2021-12-31,False,54.25,45.74,0.0,0.0,0.27,0.29,0.0
GVKPIL,2022-04-22 14:40:34,2022-03-31,False,54.25,45.75,0.0,0.0,0.27,0.3,0.0
GVKPIL,2022-07-13 12:40:18,2022-06-30,False,54.25,45.74,0.0,0.0,0.27,0.29,0.0
GVKPIL,2023-01-06 22:41:44,2022-09-30,False,54.25,45.75,0.0,0.52,0.28,0.53,0.0
GVKPIL,2023-01-09 13:40:03,2022-12-31,False,54.25,45.75,0.0,0.52,0.28,0.53,0.0
GVKPIL,2023-04-07 11:09:55,2023-03-31,False,54.25,45.75,0.0,0.48,0.3,0.5,0.0
GVKPIL,2023-10-09 13:32:33,2023-09-30,False,54.25,45.75,0.0,0.48,0.36,0.49,0.0
GVKPIL,2023-10-10 12:21:23,2023-06-30,False,54.25,45.75,0.0,0.48,0.3,0.5,0.0
GVKPIL,2024-01-12 11:57:30,2023-12-31,False,54.25,45.75,0.0,0.48,0.52,0.49,0.0
GVKPIL,2024-04-11 17:03:42,2024-03-31,False,54.25,45.75,0.0,0.48,0.85,0.49,0.0
GVKPIL,2024-07-19 11:26:43,2024-06-30,False,54.25,45.75,0.0,0.48,0.85,0.49,0.0
GVKPIL,2024-10-21 10:39:47,2024-09-30,False,54.25,45.75,0.0,0.48,0.53,0.49,0.0
GVKPIL,2025-01-09 11:35:40,2024-12-31,False,54.25,45.75,0.0,0.48,0.19,0.49,0.0
GVKPIL,2025-06-04 12:13:25,2025-03-31,False,54.25,45.75,0.0,0.48,0.05,0.49,0.0
GVKPIL,2025-07-21 10:58:14,2025-06-30,False,54.25,45.75,,0.45,0.03,0.47,
GVKPIL,2026-01-07 12:01:15,2025-12-31,False,54.25,45.75,,0.41000000000000003,0.06,0.42,
GVKPIL,2026-02-27 15:35:16,2025-09-30,False,54.25,45.75,,0.41000000000000003,0.03,0.42,
GVKPIL,2026-04-20 10:58:29,2026-03-31,False,54.25,45.75,,0.41000000000000003,0.02,0.42,
GVKPIL,2026-07-07 15:59:41,2026-06-30,False,54.25,45.75,,0.33,0.02,0.35000000000000003,
