symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GVT&D,2022-01-06 21:06:51,2021-09-30,False,75.0,25.0,13.33,1.76,0.29,15.39,0.0
GVT&D,2022-01-17 20:10:07,2021-12-31,False,75.0,25.0,13.95,1.54,0.26,15.75,0.0
GVT&D,2022-04-20 20:10:32,2022-03-31,False,75.0,25.0,14.02,1.45,0.25,15.72,0.0
GVT&D,2022-07-21 18:10:15,2022-06-30,False,75.0,25.0,14.27,1.45,0.25,15.97,0.0
GVT&D,2022-10-21 13:40:34,2022-09-30,False,75.0,25.0,14.4,1.25,0.27,15.71,0.0
GVT&D,2023-01-20 12:10:26,2022-12-31,False,75.0,25.0,14.49,1.17,0.26,15.74,0.0
GVT&D,2023-04-18 14:53:56,2023-03-31,False,75.0,25.0,14.45,1.17,0.26,15.72,0.0
GVT&D,2023-07-15 14:21:26,2023-06-30,False,75.0,25.0,15.35,0.99,0.37,16.52,0.0
GVT&D,2023-10-19 19:50:06,2023-09-30,False,75.0,25.0,15.14,0.82,0.59,16.19,0.0
GVT&D,2024-01-19 11:50:31,2023-12-31,False,75.0,25.0,15.0,0.75,0.69,16.11,0.0
GVT&D,2024-04-19 15:57:30,2024-03-31,False,75.0,25.0,14.73,0.63,1.2,15.84,0.0
GVT&D,2024-07-19 17:39:45,2024-06-30,False,75.0,25.0,13.72,0.65,2.04,14.97,0.0
GVT&D,2024-10-20 13:42:08,2024-09-30,False,59.38,40.62,22.25,2.24,6.82,25.61,0.0
GVT&D,2025-01-20 17:43:06,2024-12-31,False,51.0,49.0,24.37,2.73,12.05,28.4,0.0
GVT&D,2025-04-17 13:28:43,2025-03-31,False,51.0,49.0,24.69,2.46,13.05,28.19,0.0
GVT&D,2025-07-21 21:51:24,2025-06-30,False,51.0,49.0,23.53,2.28,14.49,26.76,
GVT&D,2025-10-17 16:44:04,2025-09-30,False,51.0,49.0,22.31,1.9800000000000002,16.150000000000002,25.2,
GVT&D,2026-01-20 14:44:36,2025-12-31,False,51.0,49.0,20.51,2.16,18.459999999999997,23.28,
GVT&D,2026-04-21 15:34:22,2026-03-31,False,51.0,49.0,18.029999999999998,2.21,20.39,21.39,
GVT&D,2026-07-21 14:27:38,2026-06-30,False,51.0,49.0,14.7,3.0700000000000003,22.89,18.47,
