symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
HAL,2022-01-06 21:06:51,2021-09-30,False,75.15,24.85,4.95,0.33,2.29,7.69,0.0
HAL,2022-01-12 11:40:07,2021-12-31,False,75.15,24.85,6.05,0.33,3.15,21.4,0.0
HAL,2022-04-08 16:40:27,2022-03-31,False,75.15,24.85,7.83,0.3,4.37,21.37,0.0
HAL,2022-07-13 13:40:08,2022-06-30,False,75.15,24.85,7.37,0.14,5.56,21.27,0.0
HAL,2022-10-14 16:10:18,2022-09-30,False,75.15,24.85,7.46,0.12,6.85,13.48,0.0
HAL,2023-01-19 10:10:05,2022-12-31,False,75.15,24.85,7.42,4.89,7.13,12.72,0.0
HAL,2023-04-18 14:51:45,2023-03-31,False,71.65,28.35,8.84,4.55,9.07,13.93,0.0
HAL,2023-07-11 15:44:39,2023-06-30,False,71.64,28.36,6.6,3.44,11.91,10.64,0.0
HAL,2023-10-13 17:15:02,2023-09-30,False,71.64,28.36,7.2,1.95,12.63,9.72,0.0
HAL,2024-01-10 16:56:08,2023-12-31,False,71.64,28.36,6.69,1.94,12.94,9.14,0.0
HAL,2024-04-15 14:50:16,2024-03-31,False,71.64,28.36,6.75,2.36,12.42,9.58,0.0
HAL,2024-07-10 16:27:36,2024-06-30,False,71.64,28.36,5.84,2.5,11.68,8.81,0.0
HAL,2024-10-17 15:48:05,2024-09-30,False,71.64,28.36,5.1,2.65,11.85,8.38,0.0
HAL,2025-01-13 16:54:30,2024-12-31,False,71.64,28.36,4.64,2.92,12.26,8.15,0.0
HAL,2025-04-16 16:23:22,2025-03-31,False,71.64,28.36,4.31,3.34,12.08,8.3,0.0
HAL,2025-07-15 11:15:44,2025-06-30,False,71.64,28.36,4.51,3.53,11.9,8.73,
HAL,2025-10-14 12:19:12,2025-09-30,False,71.64,28.36,4.87,3.06,12.0,8.709999999999999,
HAL,2026-01-12 14:34:37,2025-12-31,False,71.64,28.36,5.779999999999999,3.2199999999999998,10.86,9.74,
HAL,2026-04-13 11:12:58,2026-03-31,False,71.64,28.36,5.81,3.93,10.2,10.5,
HAL,2026-07-10 11:48:03,2026-06-30,False,71.64,28.36,6.79,4.3999999999999995,9.34,11.98,
