symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
HARRMALAYA,2022-01-06 21:06:51,2021-09-30,False,54.12,45.88,0.04,0.0,0.2,0.25,0.0
HARRMALAYA,2022-01-19 15:10:08,2021-12-31,False,54.12,45.88,0.04,0.0,0.47,0.52,0.0
HARRMALAYA,2022-04-19 12:40:36,2022-03-31,False,54.12,45.88,0.04,0.0,0.41,0.46,0.0
HARRMALAYA,2022-07-14 16:40:11,2022-06-30,False,54.12,45.88,0.04,0.0,0.14,0.18,0.0
HARRMALAYA,2022-10-20 13:10:36,2022-09-30,False,54.12,45.88,0.04,0.0,0.29,0.05,0.0
HARRMALAYA,2023-01-11 14:40:07,2022-12-31,False,54.12,45.88,0.04,0.0,0.11,0.05,0.0
HARRMALAYA,2023-04-12 14:57:34,2023-03-31,False,54.12,45.88,0.04,0.0,0.11,0.05,0.0
HARRMALAYA,2023-07-20 15:06:38,2023-06-30,False,54.12,45.88,0.04,0.0,0.11,0.05,0.0
HARRMALAYA,2023-10-19 12:57:07,2023-09-30,False,54.12,45.88,0.04,0.0,0.09,0.05,0.0
HARRMALAYA,2024-01-08 14:29:35,2023-12-31,False,54.12,45.88,0.04,0.0,0.1,0.05,0.0
HARRMALAYA,2024-04-11 14:56:51,2024-03-31,False,54.12,45.88,0.04,0.0,0.11,0.05,0.0
HARRMALAYA,2024-07-17 15:57:50,2024-06-30,False,54.12,45.88,0.04,0.0,0.01,0.05,0.0
HARRMALAYA,2024-10-15 14:59:19,2024-09-30,False,54.12,45.88,0.04,0.0,0.1,0.05,0.0
HARRMALAYA,2025-01-07 14:34:48,2024-12-31,False,54.12,45.88,0.04,0.0,0.14,0.05,0.0
HARRMALAYA,2025-04-16 11:02:28,2025-03-31,False,54.12,45.88,0.04,0.0,0.16,0.05,0.0
HARRMALAYA,2025-07-21 22:07:42,2025-06-30,False,54.12,45.88,0.04,,0.0,0.05,
HARRMALAYA,2025-10-16 12:47:05,2025-09-30,False,54.12,45.88,0.04,,0.0,0.05,
HARRMALAYA,2026-01-13 14:23:34,2025-12-31,False,54.12,45.88,0.04,,0.0,0.05,
HARRMALAYA,2026-04-13 16:53:23,2026-03-31,False,54.12,45.88,0.04,,0.0,0.05,
HARRMALAYA,2026-07-16 11:48:16,2026-06-30,False,54.12,45.88,0.04,0.0,0.01,0.06999999999999999,
