symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
HIMATSEIDE,2022-01-06 22:43:01,2021-09-30,False,47.57,52.43,11.66,0.0,4.15,16.07,0.0
HIMATSEIDE,2022-01-10 19:10:07,2021-12-31,False,47.57,52.43,10.49,0.0,4.06,14.63,0.0
HIMATSEIDE,2022-04-13 13:40:39,2022-03-31,False,47.57,52.43,10.61,0.0,4.06,14.76,0.0
HIMATSEIDE,2022-07-11 16:40:25,2022-06-30,False,47.57,52.43,9.46,0.0,3.15,12.68,0.0
HIMATSEIDE,2022-10-20 18:40:58,2022-09-30,False,47.57,52.43,9.01,0.07,2.65,9.09,0.0
HIMATSEIDE,2023-04-05 12:40:10,2022-12-31,False,47.57,52.43,7.37,0.07,2.43,7.45,0.0
HIMATSEIDE,2023-04-13 15:01:43,2023-03-31,False,47.57,52.43,5.01,0.07,2.2,5.12,0.0
HIMATSEIDE,2023-07-13 15:59:18,2023-06-30,False,47.57,52.43,2.35,0.07,2.68,2.51,0.0
HIMATSEIDE,2023-10-11 17:14:25,2023-09-30,False,47.57,52.43,1.17,0.07,3.9,1.24,0.0
HIMATSEIDE,2024-02-20 15:39:27,2023-12-31,False,47.57,52.43,0.98,0.07,4.04,1.07,0.0
HIMATSEIDE,2024-04-19 16:33:29,2024-03-31,False,47.57,52.43,0.92,0.07,3.99,0.99,0.0
HIMATSEIDE,2024-07-16 17:49:13,2024-06-30,False,47.57,52.43,0.92,0.07,3.76,0.99,0.0
HIMATSEIDE,2024-10-18 19:25:29,2024-09-30,False,47.57,52.43,0.23,0.07,3.32,0.41,0.0
HIMATSEIDE,2024-11-07 16:42:23,2024-10-30,False,37.25,62.75,1.49,0.05,13.79,11.18,0.0
HIMATSEIDE,2025-01-21 17:11:28,2024-12-31,False,37.25,62.75,1.14,0.05,12.06,8.37,0.0
HIMATSEIDE,2025-04-18 16:00:24,2025-03-31,False,37.25,62.75,1.31,0.05,10.82,8.54,0.0
HIMATSEIDE,2025-11-24 18:48:00,2025-06-30,False,37.48,62.52,0.44999999999999996,0.05,10.71,7.6899999999999995,
HIMATSEIDE,2025-11-24 18:49:59,2025-09-30,False,37.48,62.52,0.0,0.05,10.8,7.13,
HIMATSEIDE,2026-01-20 18:40:05,2025-12-31,False,37.48,62.52,0.0,0.05,10.7,7.13,
HIMATSEIDE,2026-04-17 17:39:27,2026-03-31,False,37.48,62.52,0.0,0.05,11.1,5.66,
HIMATSEIDE,2026-07-10 12:03:41,2026-06-30,False,37.48,62.52,0.0,0.05,7.4399999999999995,0.08,
