symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
IGL,2022-01-07 00:55:01,2021-09-30,False,45.0,55.0,9.63,5.6,21.88,37.93,0.0
IGL,2022-01-17 16:40:16,2021-12-31,False,45.0,55.0,9.07,7.08,20.23,36.91,0.0
IGL,2022-04-20 14:41:09,2022-03-31,False,45.0,55.0,8.28,8.24,19.88,36.78,0.0
IGL,2022-07-19 14:40:10,2022-06-30,False,45.0,55.0,7.77,8.99,20.34,37.13,0.0
IGL,2022-10-19 14:40:46,2022-09-30,False,45.0,55.0,7.63,12.19,20.99,20.28,0.0
IGL,2023-01-19 14:40:16,2022-12-31,False,45.0,55.0,6.61,12.62,21.77,19.71,0.0
IGL,2023-04-20 16:17:26,2023-03-31,False,45.0,55.0,7.72,12.24,21.27,20.47,0.0
IGL,2023-07-20 16:44:42,2023-06-30,False,45.0,55.0,8.46,11.37,21.94,20.36,0.0
IGL,2023-10-19 10:44:19,2023-09-30,False,45.0,55.0,9.68,11.04,20.94,21.24,0.0
IGL,2024-03-27 12:55:40,2023-12-31,False,45.0,55.0,9.04,13.07,17.9,22.74,0.0
IGL,2024-04-17 16:50:56,2024-03-31,False,45.0,55.0,10.39,13.6,16.82,24.23,0.0
IGL,2024-07-16 12:11:33,2024-06-30,False,45.0,55.0,11.92,13.04,16.16,25.1,0.0
IGL,2024-10-17 11:51:43,2024-09-30,False,45.0,55.0,10.41,12.69,19.29,23.19,0.0
IGL,2025-01-17 17:18:52,2024-12-31,False,45.0,55.0,13.22,12.81,14.33,26.12,0.0
IGL,2025-02-10 17:14:19,2025-02-01,False,45.0,55.0,13.13,13.08,14.05,26.3,0.0
IGL,2025-04-19 12:13:25,2025-03-31,False,45.0,55.0,12.8,13.31,14.67,26.18,0.0
IGL,2025-07-15 15:04:15,2025-06-30,False,45.0,55.0,10.44,13.38,16.82,23.99,
IGL,2025-10-17 10:54:32,2025-09-30,False,45.0,55.0,10.549999999999999,13.450000000000001,17.21,24.08,
IGL,2026-01-08 16:16:00,2025-12-31,False,45.0,55.0,10.71,13.389999999999999,16.99,24.18,
IGL,2026-04-16 16:45:11,2026-03-31,False,45.0,55.0,9.46,13.51,17.080000000000002,23.26,
IGL,2026-07-16 16:08:05,2026-06-30,False,45.0,55.0,16.33,13.36,10.16,30.03,
