symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
INDUSINDBK,2022-01-06 21:06:51,2021-09-30,False,16.54,83.46,10.22,8.42,51.44,70.41,45.48
INDUSINDBK,2022-01-14 11:40:12,2021-12-31,False,16.53,83.47,12.05,8.02,47.65,67.87,45.48
INDUSINDBK,2022-01-14 13:10:13,2021-06-30,False,16.54,83.46,9.81,7.82,52.05,69.79,45.48
INDUSINDBK,2022-04-11 16:10:22,2022-03-31,False,16.52,83.48,,,,,
INDUSINDBK,2022-10-20 16:40:42,2022-09-30,False,16.51,83.49,11.96,8.31,46.97,22.66,45.48
INDUSINDBK,2023-01-18 18:40:19,2022-06-30,False,16.51,83.49,12.13,8.76,45.83,66.85,45.48
INDUSINDBK,2023-01-18 19:10:30,2022-12-31,False,16.51,83.49,14.42,7.85,44.79,25.08,45.48
INDUSINDBK,2023-04-11 19:14:22,2023-03-31,False,16.5,83.5,15.63,8.15,42.16,27.01,45.48
INDUSINDBK,2023-07-21 10:52:27,2023-06-30,False,16.49,83.51,15.22,8.26,42.33,26.71,100.0
INDUSINDBK,2023-10-18 22:37:57,2023-09-30,False,16.47,83.53,16.37,8.5,41.48,28.66,47.3
INDUSINDBK,2024-01-17 18:26:11,2023-12-31,False,16.45,83.55,15.63,7.04,42.46,26.7,45.48
INDUSINDBK,2024-04-16 18:42:43,2024-03-31,False,16.4,83.6,17.82,7.12,40.24,28.59,45.48
INDUSINDBK,2024-07-18 16:22:37,2024-06-30,False,16.38,83.62,19.91,6.74,38.4,30.18,45.48
INDUSINDBK,2024-10-17 18:34:12,2024-09-30,False,16.36,83.64,22.73,9.32,34.1,35.08,45.48
INDUSINDBK,2025-01-10 20:20:35,2024-12-31,False,16.29,83.71,30.31,9.27,24.74,42.81,50.86
INDUSINDBK,2025-07-29 11:14:18,2025-03-31,False,15.83,84.17,27.55,7.43,29.53,36.7,50.86
INDUSINDBK,2025-10-17 16:06:13,2025-09-30,False,15.82,84.18,23.59,7.35,34.32,31.95,50.86000000000001
INDUSINDBK,2026-01-14 19:12:29,2025-12-31,False,15.82,84.18,25.82,8.57,31.6,35.38,50.86000000000001
INDUSINDBK,2026-01-28 18:59:53,2025-06-30,False,15.82,84.18,25.36,7.180000000000001,33.69,33.56,50.86000000000001
INDUSINDBK,2026-04-20 17:29:23,2026-03-31,False,15.82,84.18,30.11,9.1,28.57,40.510000000000005,42.78
INDUSINDBK,2026-07-17 16:55:08,2026-06-30,False,15.82,84.18,30.259999999999998,11.29,29.160000000000004,42.25,42.78
