symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
IRFC,2022-01-06 21:06:51,2021-09-30,False,86.36,13.64,2.08,1.11,1.06,4.24,0.0
IRFC,2022-01-14 15:10:08,2021-12-31,False,86.36,13.64,2.04,1.16,1.09,4.29,0.0
IRFC,2022-04-13 17:10:31,2022-03-31,False,86.36,13.64,2.02,1.16,1.12,4.3,0.0
IRFC,2022-07-15 17:10:08,2022-06-30,False,86.36,13.64,2.04,1.22,1.02,4.27,0.0
IRFC,2022-10-20 18:40:58,2022-09-30,False,86.36,13.64,2.17,1.22,1.05,3.39,0.0
IRFC,2023-01-19 17:40:26,2022-12-31,False,86.36,13.64,1.76,1.2,1.01,2.96,0.0
IRFC,2023-04-13 17:16:09,2023-03-31,False,86.36,13.64,1.37,1.25,1.14,2.62,0.0
IRFC,2023-07-18 12:05:45,2023-06-30,False,86.36,13.64,0.77,1.25,1.13,2.03,0.0
IRFC,2023-10-18 16:25:18,2023-09-30,False,86.36,13.64,0.5,1.12,1.13,1.63,0.0
IRFC,2024-01-17 17:03:21,2023-12-31,False,86.36,13.64,0.4,0.75,1.15,1.16,0.0
IRFC,2024-04-18 18:06:24,2024-03-31,False,86.36,13.64,0.18,0.71,1.08,0.89,0.0
IRFC,2024-07-19 16:06:55,2024-06-30,False,86.36,13.64,0.55,0.52,1.11,1.07,0.0
IRFC,2024-10-18 17:59:17,2024-09-30,False,86.36,13.64,0.15,0.88,1.09,1.08,0.0
IRFC,2025-01-17 13:01:32,2024-12-31,False,86.36,13.64,0.24,0.95,1.01,1.24,0.0
IRFC,2025-04-17 14:51:23,2025-03-31,False,86.36,13.64,0.21,1.08,0.98,1.34,0.0
IRFC,2025-07-21 10:28:03,2025-06-30,False,86.36,13.64,0.25,1.15,0.93,1.46,
IRFC,2025-10-16 18:26:41,2025-09-30,False,86.36,13.64,0.31,1.1199999999999999,0.97,1.49,
IRFC,2026-01-19 16:53:46,2025-12-31,False,86.36,13.64,0.36,1.1199999999999999,0.98,1.55,
IRFC,2026-04-16 12:22:04,2026-03-31,False,84.65,15.35,0.27,2.56,1.17,2.8899999999999997,
IRFC,2026-07-17 14:55:03,2026-06-30,False,82.9,17.1,0.3,3.5900000000000003,1.18,3.9699999999999998,
