symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
JAMNAAUTO,2022-01-06 21:06:51,2021-09-30,False,50.0,50.0,11.48,0.01,7.36,18.92,2.72
JAMNAAUTO,2022-01-12 12:40:13,2021-12-31,False,50.0,50.0,12.72,0.01,6.7,19.57,2.72
JAMNAAUTO,2022-06-23 11:40:13,2022-03-31,False,49.98,50.02,13.39,0.01,5.55,19.1,3.8
JAMNAAUTO,2022-07-13 14:10:10,2022-06-30,False,49.98,50.02,13.57,0.01,6.63,20.46,3.8
JAMNAAUTO,2022-10-21 12:40:40,2022-09-30,False,49.98,50.02,12.89,0.0,7.08,13.39,3.8
JAMNAAUTO,2023-01-17 16:10:21,2022-12-31,False,49.98,50.02,13.61,0.0,6.47,14.46,3.8
JAMNAAUTO,2023-04-15 15:13:46,2023-03-31,False,49.95,50.05,14.25,0.0,6.24,15.15,3.8
JAMNAAUTO,2023-10-13 16:51:04,2023-09-30,False,49.95,50.05,11.89,0.0,5.79,12.28,3.14
JAMNAAUTO,2023-12-08 10:50:04,2023-06-30,False,49.95,50.05,14.07,0.0,3.28,14.62,3.8
JAMNAAUTO,2024-01-10 18:22:26,2023-12-31,False,49.95,50.05,10.27,0.1,5.71,10.76,3.14
JAMNAAUTO,2024-09-05 17:53:49,2024-03-31,False,49.94,50.06,6.76,0.17,7.67,7.14,1.52
JAMNAAUTO,2024-09-17 11:45:21,2024-06-30,False,49.94,50.06,6.15,0.08,8.96,6.27,1.52
JAMNAAUTO,2024-12-02 12:15:23,2024-09-30,False,49.94,50.06,5.2,0.0,5.39,5.28,1.52
JAMNAAUTO,2025-02-18 15:06:31,2024-12-31,False,49.94,50.06,4.33,0.0,4.25,4.41,1.52
JAMNAAUTO,2025-05-27 10:01:30,2025-03-31,False,49.94,50.06,5.52,0.0,2.76,5.62,1.52
JAMNAAUTO,2025-07-19 17:39:42,2025-06-30,False,49.94,50.06,6.26,,2.04,6.28,1.52
JAMNAAUTO,2026-01-17 16:03:57,2025-12-31,False,49.93,50.07,7.68,,5.2,8.08,1.52
JAMNAAUTO,2026-02-20 15:55:33,2025-09-30,False,49.94,50.06,6.950000000000001,,2.36,7.03,1.52
JAMNAAUTO,2026-04-20 11:48:25,2026-03-31,False,49.84,50.16,4.03,0.0,9.25,4.83,1.52
JAMNAAUTO,2026-07-14 15:27:28,2026-06-30,False,49.84,50.16,3.0700000000000003,0.0,9.01,3.91,1.52
