symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
JBFIND,2022-01-07 00:40:01,2021-09-30,False,22.91,77.09,0.01,2.47,4.6,7.09,90.96
JBFIND,2022-01-14 13:40:07,2021-12-31,False,22.91,77.09,0.01,2.47,0.0,2.48,90.96
JBFIND,2022-04-18 11:40:31,2022-03-31,False,22.91,77.09,0.01,2.47,0.28,2.76,90.96
JBFIND,2022-07-15 15:40:15,2022-06-30,False,22.91,77.09,0.01,2.47,0.0,2.48,90.96
JBFIND,2022-10-18 12:40:15,2022-09-30,False,22.91,77.09,0.01,2.47,0.0,2.51,90.96
JBFIND,2023-01-18 12:40:11,2022-12-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2023-04-19 16:22:56,2023-03-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2023-07-20 18:00:31,2023-06-30,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2023-10-09 14:15:09,2023-09-30,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2024-01-15 14:09:55,2023-12-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2024-04-11 14:35:18,2024-03-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2024-07-20 19:58:54,2024-06-30,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2024-10-18 14:08:00,2024-09-30,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2025-01-15 14:50:50,2024-12-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2025-04-10 12:37:53,2025-03-31,False,22.91,77.09,0.01,2.47,0.0,2.5,9.6
JBFIND,2025-07-18 11:42:26,2025-06-30,False,22.91,77.09,0.01,2.47,,2.5,9.6
JBFIND,2025-10-17 12:33:29,2025-09-30,False,22.91,77.09,0.01,2.4699999999999998,,2.5,9.6
JBFIND,2026-01-19 13:14:16,2025-12-31,False,22.91,77.09,0.01,2.4699999999999998,,2.5,9.6
JBFIND,2026-04-14 13:38:10,2026-03-31,False,22.91,77.09,0.01,2.4699999999999998,,2.5,9.6
JBFIND,2026-07-17 13:38:02,2026-06-30,False,22.91,77.09,0.01,2.4699999999999998,,2.5,9.6
