symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
JKPAPER,2022-01-07 00:25:01,2021-09-30,False,49.52,50.48,0.52,0.0,4.59,6.48,0.0
JKPAPER,2022-01-15 18:40:05,2021-12-31,False,49.52,50.48,1.05,0.0,3.89,6.41,0.0
JKPAPER,2022-04-19 16:10:33,2022-03-31,False,49.63,50.37,1.72,0.21,3.53,7.03,0.0
JKPAPER,2022-07-19 16:10:19,2022-06-30,False,49.63,50.37,4.09,0.5,3.43,9.29,0.0
JKPAPER,2022-10-20 18:40:58,2022-09-30,False,49.63,50.37,2.97,0.12,6.05,4.46,0.0
JKPAPER,2023-01-20 15:10:15,2022-12-31,False,49.63,50.37,1.76,0.0,9.43,2.92,0.0
JKPAPER,2023-07-19 13:01:23,2023-06-30,False,49.63,50.37,2.19,0.0,10.46,3.11,0.0
JKPAPER,2023-08-07 11:13:50,2023-03-31,False,49.63,50.37,1.83,0.0,11.49,2.84,0.0
JKPAPER,2023-10-19 12:37:53,2023-09-30,False,49.63,50.37,1.87,0.14,10.9,3.18,0.0
JKPAPER,2024-01-19 18:44:02,2023-12-31,False,49.63,50.37,2.04,0.15,10.75,3.37,0.0
JKPAPER,2024-04-09 18:02:32,2024-03-31,False,49.63,50.37,2.46,0.12,9.26,3.72,0.0
JKPAPER,2024-07-11 15:08:29,2024-06-30,False,49.63,50.37,4.32,0.16,12.09,5.72,0.0
JKPAPER,2024-10-15 12:10:17,2024-09-30,False,49.63,50.37,4.86,0.19,11.37,5.81,0.0
JKPAPER,2025-01-17 15:56:44,2024-12-31,False,49.63,50.37,4.95,0.0,12.19,5.55,0.0
JKPAPER,2025-04-09 16:18:19,2025-03-31,False,49.63,50.37,4.77,0.01,11.86,5.51,0.0
JKPAPER,2025-07-21 18:39:12,2025-06-30,False,49.63,50.37,4.72,0.02,11.76,5.47,
JKPAPER,2025-10-15 11:43:12,2025-09-30,False,49.63,50.37,4.82,,11.5,5.57,
JKPAPER,2026-01-14 11:40:10,2025-12-31,False,49.63,50.37,5.09,,12.07,5.86,
JKPAPER,2026-03-23 18:08:19,2026-03-20,False,52.94,47.06,5.35,,11.63,6.0600000000000005,
JKPAPER,2026-04-13 17:34:26,2026-03-31,False,52.94,47.06,5.4399999999999995,,11.59,6.140000000000001,
JKPAPER,2026-07-20 15:04:59,2026-06-30,False,52.94,47.06,5.75,,11.4,6.2700000000000005,
