symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
JSWSTEEL,2022-01-07 00:10:01,2021-09-30,False,44.09,55.54,2.6,0.0,12.17,20.23,13.82
JSWSTEEL,2022-02-28 15:10:04,2021-12-31,False,44.72,54.95,2.4,0.0,11.21,19.59,17.81
JSWSTEEL,2022-04-16 16:10:27,2022-03-31,False,45.01,54.68,1.83,0.0,11.58,19.52,15.83
JSWSTEEL,2022-07-14 14:10:04,2022-06-30,False,45.02,54.33,2.27,0.0,10.61,19.68,16.79
JSWSTEEL,2022-10-18 17:10:21,2022-09-30,False,45.19,54.2,1.77,7.43,10.75,9.24,15.21
JSWSTEEL,2023-01-13 15:10:28,2022-12-31,False,45.19,54.24,1.73,7.58,26.04,9.34,17.57
JSWSTEEL,2023-06-09 15:40:00,2023-03-31,False,45.4,54.06,1.77,7.67,26.01,9.48,16.35
JSWSTEEL,2023-07-17 16:56:35,2023-06-30,False,45.4,54.09,2.2,7.38,25.99,9.6,15.03
JSWSTEEL,2023-12-14 16:25:15,2023-09-30,False,44.81,54.76,2.54,6.93,26.13,9.51,14.12
JSWSTEEL,2024-01-11 14:58:57,2023-12-31,False,44.81,54.79,2.85,6.61,26.33,9.48,14.8
JSWSTEEL,2024-04-15 15:51:56,2024-03-31,False,44.81,54.83,3.19,6.59,26.06,9.82,15.24
JSWSTEEL,2024-07-16 15:33:24,2024-06-30,False,44.81,54.86,3.58,6.86,25.52,10.53,15.16
JSWSTEEL,2024-10-14 17:10:39,2024-09-30,False,44.84,54.92,3.57,6.91,25.66,10.54,14.34
JSWSTEEL,2025-01-20 18:14:46,2024-12-31,False,44.85,54.93,3.65,6.85,25.59,10.59,14.07
JSWSTEEL,2025-04-15 15:06:59,2025-03-31,False,44.84,54.96,3.54,6.9,25.78,10.52,13.36
JSWSTEEL,2025-07-15 20:04:11,2025-06-30,False,45.31,54.45,4.25,6.63,25.43,10.92,12.41
JSWSTEEL,2025-10-21 13:36:44,2025-09-30,False,45.32,54.56,4.6899999999999995,6.13,25.55,10.870000000000001,12.47
JSWSTEEL,2026-01-19 15:02:51,2025-12-31,False,45.32,54.49,5.09,5.86,25.380000000000003,11.05,11.700000000000001
JSWSTEEL,2026-04-21 18:46:21,2026-03-31,False,45.32,54.49,5.33,5.71,25.380000000000003,11.15,11.81
JSWSTEEL,2026-07-21 18:20:54,2026-06-30,False,44.29,55.52,5.89,5.46,25.919999999999998,11.49,11.600000000000001
