symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
LALPATHLAB,2022-01-06 21:06:51,2021-09-30,False,55.23,43.97,3.26,1.58,26.82,32.55,0.0
LALPATHLAB,2022-01-13 10:40:06,2021-12-31,False,55.23,44.03,3.34,2.24,25.45,32.02,0.0
LALPATHLAB,2022-04-15 18:40:29,2022-03-31,False,55.23,44.07,3.32,2.37,23.44,30.27,0.0
LALPATHLAB,2022-07-07 17:10:09,2022-06-30,False,55.05,44.35,2.83,2.46,22.37,28.89,0.0
LALPATHLAB,2022-10-14 15:40:09,2022-09-30,False,55.05,44.38,2.76,2.33,23.26,6.27,0.0
LALPATHLAB,2023-01-20 12:10:26,2022-12-31,False,55.05,44.39,2.71,2.37,25.8,6.19,0.0
LALPATHLAB,2023-04-17 19:43:51,2023-03-31,False,55.03,44.45,3.26,2.28,24.89,6.55,0.0
LALPATHLAB,2023-07-11 18:55:53,2023-06-30,False,55.01,44.55,4.92,2.41,23.27,8.63,0.0
LALPATHLAB,2023-10-11 15:47:30,2023-09-30,False,54.61,44.98,5.36,2.61,24.36,9.14,0.0
LALPATHLAB,2024-01-12 11:50:36,2023-12-31,False,54.6,45.03,5.88,2.73,25.35,9.56,0.0
LALPATHLAB,2024-04-15 18:20:26,2024-03-31,False,54.6,45.08,6.79,2.3,26.15,9.69,0.0
LALPATHLAB,2024-07-12 11:40:29,2024-06-30,False,54.6,45.1,9.3,2.84,25.42,12.71,0.0
LALPATHLAB,2024-10-16 12:53:06,2024-09-30,False,53.92,45.75,9.84,2.54,26.82,12.89,0.0
LALPATHLAB,2025-01-15 14:30:37,2024-12-31,False,53.91,45.81,10.25,2.53,26.82,13.17,0.0
LALPATHLAB,2025-04-11 18:58:40,2025-03-31,False,53.91,45.83,12.84,2.75,23.91,16.08,0.0
LALPATHLAB,2025-08-04 18:34:16,2025-06-30,False,53.79,45.82,15.04,2.4,21.68,17.91,
LALPATHLAB,2025-10-15 17:52:07,2025-09-30,False,53.21,46.42,15.9,2.09,21.86,18.490000000000002,
LALPATHLAB,2025-12-27 15:27:55,2025-12-22,False,53.21,46.44,16.6,2.11,20.68,18.96,
LALPATHLAB,2026-01-20 11:28:01,2025-12-31,False,53.21,46.44,16.84,2.18,20.29,19.21,
LALPATHLAB,2026-04-20 18:09:48,2026-03-31,False,53.21,46.44,18.62,2.33,17.18,21.38,
LALPATHLAB,2026-07-21 19:05:23,2026-06-30,False,53.19,46.43,18.790000000000003,2.37,17.36,21.59,
