symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
LT,2022-01-06 23:25:01,2021-09-30,False,0.0,100.0,16.31,16.15,22.86,55.97,0.0
LT,2022-01-15 17:10:06,2021-12-31,False,0.0,100.0,16.76,15.34,23.24,55.95,0.0
LT,2022-04-14 17:40:33,2022-03-31,False,0.0,100.0,17.67,15.15,22.42,55.91,0.0
LT,2022-07-18 18:40:14,2022-06-30,False,0.0,100.0,18.25,15.65,21.09,55.7,0.0
LT,2022-10-20 17:40:47,2022-09-30,False,0.0,100.0,17.94,20.04,22.11,40.62,0.0
LT,2023-01-20 16:10:25,2022-12-31,False,0.0,100.0,17.66,19.65,23.3,39.91,0.0
LT,2023-04-13 11:10:43,2023-03-31,False,0.0,100.0,17.6,18.49,24.48,38.77,0.0
LT,2023-07-18 16:12:00,2023-06-30,False,0.0,100.0,17.46,17.85,25.3,38.14,0.0
LT,2023-10-07 19:45:23,2023-09-28,False,0.0,100.0,16.59,17.79,25.71,37.3,0.0
LT,2023-10-19 10:56:28,2023-09-30,False,0.0,100.0,16.59,17.79,25.71,37.3,0.0
LT,2024-01-10 12:02:00,2023-12-31,False,0.0,100.0,17.01,17.58,25.49,37.47,0.0
LT,2024-04-12 16:59:00,2024-03-31,False,0.0,100.0,17.85,17.44,24.36,38.22,0.0
LT,2024-07-18 17:41:42,2024-06-30,False,0.0,100.0,18.13,17.98,22.85,39.03,0.0
LT,2024-10-14 15:56:18,2024-09-30,False,0.0,100.0,19.14,18.74,21.71,40.58,0.0
LT,2025-01-14 14:50:58,2024-12-31,False,0.0,100.0,19.68,19.12,20.83,41.71,0.0
LT,2025-04-17 11:44:04,2025-03-31,False,0.0,100.0,19.94,19.84,19.8,42.71,0.0
LT,2025-07-21 14:12:07,2025-06-30,False,0.0,100.0,20.31,20.02,19.33,43.48,
LT,2025-10-18 15:04:42,2025-09-30,False,0.0,100.0,0.2055,0.1934,0.1948,0.4335,
LT,2026-01-21 17:07:01,2025-12-31,False,0.0,100.0,0.2037,0.1871,0.2006,0.4299,
LT,2026-04-16 18:19:28,2026-03-31,False,0.0,100.0,0.205,0.1875,0.1878,0.4333,
LT,2026-07-16 16:11:17,2026-06-30,False,0.0,100.0,0.201,0.186,0.1913,0.4302,
