symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
LTF,2022-01-06 21:06:51,2021-09-30,False,63.53,36.47,1.84,4.68,8.25,14.82,0.0
LTF,2022-01-07 19:40:05,2021-12-31,False,63.5,36.5,1.95,4.15,7.86,13.97,0.0
LTF,2022-04-12 20:40:27,2022-03-31,False,66.26,33.74,0.56,4.01,6.91,11.48,0.0
LTF,2022-07-08 19:40:05,2022-06-30,False,66.23,33.77,0.93,4.41,6.61,11.95,0.0
LTF,2022-10-14 20:10:02,2022-09-30,False,66.2,33.8,0.96,4.39,6.75,5.35,0.0
LTF,2023-01-14 20:36:02,2022-12-31,False,66.15,33.85,1.67,4.38,11.24,6.06,0.0
LTF,2023-04-14 20:07:10,2023-03-31,False,66.11,33.89,2.22,4.36,11.35,6.58,0.0
LTF,2023-07-13 16:16:36,2023-06-30,False,66.1,33.9,0.86,4.4,13.9,5.29,0.0
LTF,2023-10-13 16:44:46,2023-09-30,False,66.02,33.98,1.38,5.59,12.12,7.02,0.0
LTF,2024-01-11 18:38:12,2023-12-31,False,65.9,34.1,2.67,6.24,10.67,9.08,0.0
LTF,2024-04-12 19:03:40,2024-03-31,False,65.86,34.14,3.4,5.11,11.05,8.7,0.0
LTF,2024-07-11 18:42:51,2024-06-30,False,66.37,33.63,6.93,4.54,7.33,11.64,0.0
LTF,2024-10-11 14:16:38,2024-09-30,False,66.29,33.71,7.44,4.76,6.73,12.33,0.0
LTF,2025-01-09 17:52:16,2024-12-31,False,66.25,33.75,6.37,5.7,5.3,12.17,0.0
LTF,2025-04-09 16:16:31,2025-03-31,False,66.24,33.76,7.06,6.18,5.48,13.29,0.0
LTF,2025-07-10 18:14:01,2025-06-30,False,66.16,33.84,8.15,5.89,6.19,14.11,
LTF,2025-10-08 17:41:54,2025-09-30,False,66.1,33.9,10.51,3.7699999999999996,6.41,14.32,
LTF,2026-01-08 18:42:21,2025-12-31,False,66.03,33.97,11.86,3.32,6.660000000000001,15.329999999999998,
LTF,2026-04-16 19:03:00,2026-03-31,False,65.99,34.01,11.540000000000001,3.2199999999999998,7.630000000000001,14.899999999999999,
LTF,2026-07-08 16:07:15,2026-06-30,False,65.96,34.04,11.559999999999999,3.19,7.71,14.899999999999999,
