symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
M&M,2022-01-07 02:25:01,2021-09-30,False,19.46,76.47,11.09,10.42,38.92,66.0,0.06
M&M,2022-01-21 12:10:09,2021-12-31,False,19.47,76.5,12.37,9.29,38.66,66.47,0.06
M&M,2022-04-19 21:10:27,2022-03-31,False,19.47,76.56,13.86,8.91,37.3,66.08,0.06
M&M,2022-07-20 20:10:11,2022-06-30,False,19.45,76.6,14.81,8.18,37.94,66.87,0.06
M&M,2022-10-21 12:10:25,2022-09-30,False,19.38,76.69,15.01,12.0,38.27,28.51,0.06
M&M,2023-01-19 17:40:26,2022-12-31,False,19.39,76.73,15.3,10.84,39.16,27.73,0.06
M&M,2023-04-21 02:03:39,2023-03-31,False,19.37,76.78,15.06,10.61,39.24,27.65,0.06
M&M,2023-07-20 04:06:11,2023-06-30,False,19.37,76.8,13.94,10.72,40.14,26.87,0.06
M&M,2023-10-19 21:12:40,2023-09-30,False,19.34,76.86,13.73,10.53,40.26,26.79,0.06
M&M,2024-01-19 03:04:44,2023-12-31,False,19.32,76.91,13.06,10.51,40.87,26.26,0.06
M&M,2024-04-17 01:14:22,2024-03-31,False,18.59,77.66,12.72,10.88,41.75,26.13,0.06
M&M,2024-07-19 11:09:03,2024-06-30,False,18.56,77.72,12.71,10.81,41.89,26.18,0.06
M&M,2024-10-17 18:46:18,2024-09-30,False,18.54,77.77,12.92,11.61,41.19,27.05,0.06
M&M,2025-01-21 17:46:08,2024-12-31,False,18.48,77.88,14.98,11.71,38.91,29.22,0.02
M&M,2025-04-19 23:26:27,2025-03-31,False,18.45,77.95,15.37,11.65,38.3,29.79,0.02
M&M,2025-07-21 22:23:21,2025-06-30,False,18.44,77.98,15.39,11.31,38.54,29.59,0.02
M&M,2025-10-20 20:51:13,2025-09-30,False,18.44,78.01,16.35,10.57,38.04,29.959999999999997,0.02
M&M,2026-01-21 19:20:27,2025-12-31,False,18.44,78.04,16.61,10.51,37.49,30.44,0.02
M&M,2026-04-21 19:41:01,2026-03-31,False,18.45,78.05,17.25,10.7,36.22,31.5,0.02
M&M,2026-07-20 22:39:06,2026-06-30,False,18.45,78.08,18.15,10.870000000000001,34.89,32.65,0.02
