symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
MAHABANK,2022-01-06 21:06:51,2021-09-30,False,90.97,9.03,0.05,3.08,0.15,3.82,0.0
MAHABANK,2022-01-10 16:40:14,2021-12-31,False,90.97,9.03,0.08,3.08,0.12,3.82,0.0
MAHABANK,2022-04-08 18:10:23,2022-03-31,False,90.97,9.03,0.09,3.09,0.13,3.87,0.0
MAHABANK,2022-07-13 15:10:08,2022-06-30,False,90.97,9.03,0.15,3.08,0.16,3.9,0.0
MAHABANK,2022-10-15 19:40:05,2022-09-30,False,90.97,9.03,0.19,3.08,0.2,3.78,0.0
MAHABANK,2023-01-13 17:40:19,2022-12-31,False,90.97,9.03,0.26,3.09,0.16,3.38,0.0
MAHABANK,2023-04-13 15:28:34,2023-03-31,False,90.97,9.03,0.23,3.08,0.26,3.33,0.0
MAHABANK,2023-06-16 15:34:40,2023-06-06,False,86.46,13.54,0.28,5.45,1.21,7.09,0.0
MAHABANK,2023-07-12 18:15:31,2023-06-30,False,86.46,13.54,0.38,5.45,0.68,6.43,0.0
MAHABANK,2023-10-11 16:31:01,2023-09-30,False,86.46,13.54,0.53,4.64,0.59,5.18,0.0
MAHABANK,2024-01-09 10:47:53,2023-12-31,False,86.46,13.54,0.41,4.3,0.45,4.72,0.0
MAHABANK,2024-04-12 12:44:51,2024-03-31,False,86.46,13.54,0.41,4.27,1.04,4.68,0.0
MAHABANK,2024-07-15 17:00:51,2024-06-30,False,86.46,13.54,0.4,4.17,1.2,4.58,0.0
MAHABANK,2024-10-24 11:30:33,2024-09-30,False,86.46,13.54,0.33,4.13,1.26,4.47,0.0
MAHABANK,2024-10-24 11:31:50,2024-10-05,False,79.6,20.4,0.62,8.77,1.95,11.03,0.0
MAHABANK,2025-01-06 17:57:50,2024-12-31,False,79.6,20.4,0.85,8.69,1.53,10.87,0.0
MAHABANK,2025-04-16 12:42:30,2025-03-31,False,79.6,20.4,0.9,8.65,1.73,10.67,0.0
MAHABANK,2025-07-18 15:18:29,2025-06-30,False,79.6,20.4,0.97,8.4,1.89,10.4,
MAHABANK,2025-10-13 16:30:34,2025-09-30,False,79.6,20.4,1.17,8.25,2.34,10.05,
MAHABANK,2025-12-12 18:53:29,2025-12-04,False,73.6,26.4,4.62,7.84,4.67,12.740000000000002,
MAHABANK,2026-01-09 13:55:09,2025-12-31,False,73.6,26.4,5.319999999999999,7.9,4.93,13.5,
MAHABANK,2026-04-10 10:37:05,2026-03-31,False,73.6,26.4,6.2700000000000005,7.41,5.55,13.919999999999998,
MAHABANK,2026-07-09 16:26:12,2026-06-30,False,73.6,26.4,6.76,7.26,5.81,14.27,
