symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
MFSL,2022-01-06 21:06:51,2021-09-30,False,14.72,85.28,23.17,3.13,27.72,77.09,56.7
MFSL,2022-01-18 12:10:15,2021-12-31,False,14.72,85.28,25.16,2.97,26.08,77.25,63.61
MFSL,2022-04-12 15:40:27,2022-03-31,False,14.72,85.28,28.05,2.85,23.26,77.28,87.21
MFSL,2022-07-11 13:10:15,2022-06-30,False,14.72,85.28,28.0,2.3,23.76,77.04,88.89
MFSL,2022-10-20 15:10:27,2022-09-30,False,14.72,85.28,28.05,2.54,45.77,31.71,94.01
MFSL,2023-01-19 10:40:10,2022-12-31,False,11.45,88.55,32.26,2.63,44.81,36.0,92.96
MFSL,2023-04-11 16:56:26,2023-03-31,False,10.15,89.85,29.78,3.01,47.71,34.06,85.05
MFSL,2023-07-11 21:25:37,2023-06-30,False,10.15,89.85,30.19,3.09,48.46,34.35,93.31
MFSL,2023-10-18 16:25:17,2023-09-30,False,6.52,93.48,30.27,3.79,51.54,35.1,58.68
MFSL,2024-01-18 14:33:41,2023-12-31,False,6.52,93.48,31.93,4.13,50.89,36.89,59.57
MFSL,2024-04-12 17:09:33,2024-03-31,False,6.52,93.48,34.59,4.82,47.71,39.92,69.15
MFSL,2024-07-16 10:42:47,2024-06-30,False,6.52,93.48,34.69,5.42,46.6,40.74,72.64
MFSL,2024-10-10 21:07:12,2024-09-30,False,3.34,96.66,36.5,6.19,46.24,44.0,0.1
MFSL,2025-01-08 10:28:30,2024-12-31,False,3.34,96.66,34.95,6.23,47.5,42.69,0.0
MFSL,2025-04-07 14:24:54,2025-03-31,False,1.74,98.26,39.88,5.84,44.75,47.3,28.67
MFSL,2025-07-22 17:31:27,2025-06-30,False,1.74,98.26,39.24,6.25,44.72,47.29,
MFSL,2025-10-10 12:47:11,2025-09-30,False,1.71,98.29,38.66,6.5600000000000005,44.78,47.260000000000005,
MFSL,2026-01-15 15:02:59,2025-12-31,False,1.25,98.75,39.489999999999995,6.13,45.14,47.349999999999994,
MFSL,2026-04-14 19:35:49,2026-03-31,False,1.25,98.75,36.99,6.1899999999999995,47.88,44.75,42.07
MFSL,2026-07-10 16:16:20,2026-06-30,False,1.25,98.75,36.76,6.02,48.06,44.34,26.919999999999998
