symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
MIDHANI,2022-01-06 21:06:51,2021-09-30,False,74.0,26.0,11.74,1.91,0.2,13.86,0.0
MIDHANI,2022-01-12 13:10:13,2021-12-31,False,74.0,26.0,12.36,1.92,0.25,14.52,0.0
MIDHANI,2022-04-13 11:10:33,2022-03-31,False,74.0,26.0,12.82,1.92,0.31,15.05,0.0
MIDHANI,2022-07-20 18:10:18,2022-06-30,False,74.0,26.0,12.65,1.94,0.51,15.1,0.0
MIDHANI,2022-10-18 12:10:23,2022-09-30,False,74.0,26.0,13.6,1.95,0.52,15.58,0.0
MIDHANI,2023-04-10 10:39:33,2022-12-31,False,74.0,26.0,11.92,1.82,0.52,13.77,0.0
MIDHANI,2023-04-10 11:07:15,2023-03-31,False,74.0,26.0,12.01,1.81,0.58,13.82,0.0
MIDHANI,2023-07-10 14:26:04,2023-06-30,False,74.0,26.0,11.33,1.78,0.96,13.12,0.0
MIDHANI,2023-10-13 17:11:50,2023-09-30,False,74.0,26.0,10.68,1.8,1.18,12.49,0.0
MIDHANI,2024-01-19 14:18:45,2023-12-31,False,74.0,26.0,10.07,1.69,0.95,11.84,0.0
MIDHANI,2024-04-06 15:14:12,2024-03-31,False,74.0,26.0,9.32,1.62,1.08,11.04,0.0
MIDHANI,2024-07-12 17:40:19,2024-06-30,False,74.0,26.0,7.61,1.62,1.27,9.33,0.0
MIDHANI,2024-10-17 15:47:03,2024-09-30,False,74.0,26.0,6.73,1.62,1.42,8.45,0.0
MIDHANI,2025-01-18 16:37:31,2024-12-31,False,74.0,26.0,6.77,1.62,1.26,8.49,0.0
MIDHANI,2025-04-11 10:29:19,2025-03-31,False,74.0,26.0,7.06,1.64,1.65,8.79,0.0
MIDHANI,2025-07-19 16:51:09,2025-06-30,False,74.0,26.0,7.24,1.64,1.34,8.98,
MIDHANI,2025-10-15 12:16:20,2025-09-30,False,74.0,26.0,7.17,1.55,1.37,8.83,
MIDHANI,2026-01-19 17:36:45,2025-12-31,False,74.0,26.0,6.25,1.55,1.25,7.920000000000001,
MIDHANI,2026-04-18 16:46:42,2026-03-31,False,74.0,26.0,6.11,1.55,1.32,7.82,
MIDHANI,2026-07-17 10:08:30,2026-06-30,False,74.0,26.0,5.81,1.4000000000000001,2.56,7.37,
