symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
MMTC,2022-01-06 21:06:51,2021-09-30,False,89.93,10.07,0.01,2.92,0.01,2.94,0.0
MMTC,2022-01-19 17:10:16,2021-12-31,False,89.93,10.07,0.04,2.77,0.01,2.82,0.0
MMTC,2022-04-13 18:40:28,2022-03-31,False,89.93,10.07,0.01,2.55,0.07,2.63,0.0
MMTC,2022-07-15 21:10:05,2022-06-30,False,89.93,10.07,0.01,2.55,0.02,2.58,0.0
MMTC,2022-10-19 12:10:25,2022-09-30,False,89.93,10.07,0.01,2.55,0.02,2.56,0.0
MMTC,2023-01-18 15:40:18,2022-12-31,False,89.93,10.07,0.01,2.55,0.03,2.57,0.0
MMTC,2023-04-17 13:08:14,2023-03-31,False,89.93,10.07,0.01,2.55,0.02,2.57,0.0
MMTC,2023-07-11 10:44:33,2023-06-30,False,89.93,10.07,0.01,2.55,0.02,2.57,0.0
MMTC,2023-10-10 12:47:13,2023-09-30,False,89.93,10.07,0.02,2.5,0.03,2.52,0.0
MMTC,2024-01-08 11:10:02,2023-12-31,False,89.93,10.07,0.29,2.14,0.0,2.43,0.0
MMTC,2024-04-05 13:08:15,2024-03-31,False,89.93,10.07,0.56,2.14,0.15,2.7,0.0
MMTC,2024-07-10 13:25:32,2024-06-30,False,89.93,10.07,0.53,2.13,0.02,2.67,0.0
MMTC,2024-10-08 16:36:37,2024-09-30,False,89.93,10.07,0.04,2.1,0.09,2.14,0.0
MMTC,2025-01-07 12:06:07,2024-12-31,False,89.93,10.07,0.04,1.82,0.11,1.86,0.0
MMTC,2025-04-07 16:01:57,2025-03-31,False,89.93,10.07,0.05,1.82,0.16,1.87,0.0
MMTC,2025-07-07 12:33:48,2025-06-30,False,89.93,10.07,0.05,1.82,0.11,1.87,
MMTC,2026-01-06 13:16:32,2025-12-31,False,89.93,10.07,0.06,1.71,0.02,1.76,
MMTC,2026-03-06 11:41:20,2025-09-30,False,89.93,10.07,0.05,1.79,0.09,1.8499999999999999,
MMTC,2026-04-08 15:54:55,2026-03-31,False,89.93,10.07,0.06,1.71,0.13,1.77,
MMTC,2026-07-06 16:19:29,2026-06-30,False,89.93,10.07,0.06999999999999999,1.71,0.16,1.78,
