symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
NLCINDIA,2022-01-06 23:10:01,2021-09-30,False,79.2,20.8,3.15,0.04,0.56,7.13,0.0
NLCINDIA,2022-01-19 18:10:23,2021-12-31,False,79.2,20.8,2.74,0.03,0.62,6.78,0.0
NLCINDIA,2022-04-20 11:40:50,2022-03-31,False,79.2,20.8,2.29,0.03,1.05,6.76,0.0
NLCINDIA,2022-07-28 16:10:04,2022-06-30,False,79.2,20.8,2.16,0.19,1.21,6.7,0.0
NLCINDIA,2022-10-18 17:40:29,2022-09-30,False,79.2,20.8,2.3,2.95,1.16,5.33,0.0
NLCINDIA,2023-01-19 19:10:17,2022-12-31,False,79.2,20.8,3.25,2.31,0.83,5.88,0.0
NLCINDIA,2023-04-18 12:30:54,2023-03-31,False,79.2,20.8,4.42,2.13,0.67,6.89,0.0
NLCINDIA,2023-07-17 15:32:49,2023-06-30,False,79.2,20.8,5.09,2.11,0.81,8.02,0.0
NLCINDIA,2023-10-18 17:05:04,2023-09-30,False,79.2,20.8,5.74,1.83,0.95,9.18,0.0
NLCINDIA,2024-01-17 16:28:48,2023-12-31,False,79.2,20.8,5.33,1.97,1.21,8.84,0.0
NLCINDIA,2024-04-18 17:23:37,2024-03-31,False,72.2,27.8,9.39,3.29,2.39,13.38,0.0
NLCINDIA,2024-07-15 17:26:20,2024-06-30,False,72.2,27.8,9.23,4.07,2.18,13.83,0.0
NLCINDIA,2024-10-18 17:22:34,2024-09-30,False,72.2,27.8,9.94,4.34,2.53,14.3,0.0
NLCINDIA,2025-01-17 18:24:57,2024-12-31,False,72.2,27.8,10.05,4.4,2.86,14.46,0.0
NLCINDIA,2025-04-22 17:22:45,2025-03-31,False,72.2,27.8,10.31,4.32,2.91,14.63,0.0
NLCINDIA,2025-07-19 12:10:28,2025-06-30,False,72.2,27.8,9.9,4.33,2.95,14.25,
NLCINDIA,2025-10-15 19:31:29,2025-09-30,False,72.2,27.8,9.790000000000001,4.05,3.2399999999999998,13.850000000000001,
NLCINDIA,2026-01-21 12:48:21,2025-12-31,False,72.2,27.8,9.6,4.09,3.2199999999999998,13.719999999999999,
NLCINDIA,2026-04-18 18:41:14,2026-03-31,False,72.2,27.8,9.49,4.45,3.62,13.969999999999999,
NLCINDIA,2026-07-20 18:20:58,2026-06-30,False,69.47,30.53,9.46,3.42,4.62,12.94,
