symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
NOCIL,2022-01-06 22:51:18,2021-09-30,False,33.88,66.12,3.09,0.75,2.12,6.55,10.14
NOCIL,2022-04-14 15:40:28,2022-03-31,False,33.85,66.15,3.08,0.75,2.54,6.8,10.0
NOCIL,2022-04-22 16:11:32,2021-12-31,False,33.86,66.14,3.18,0.75,2.74,7.25,8.65
NOCIL,2022-07-11 11:40:06,2022-06-30,False,33.85,66.15,3.72,0.75,2.94,7.81,9.55
NOCIL,2022-11-30 16:10:37,2022-09-30,False,33.84,66.16,3.79,0.85,4.46,5.12,9.41
NOCIL,2023-01-17 11:40:10,2022-12-31,False,33.84,66.16,3.41,0.86,5.29,4.76,11.2
NOCIL,2023-04-17 15:34:08,2023-03-31,False,33.84,66.16,3.47,1.57,5.39,5.5,10.43
NOCIL,2023-07-18 12:17:15,2023-06-30,False,33.84,66.16,2.41,1.82,5.44,4.7,10.43
NOCIL,2023-10-19 12:03:01,2023-09-30,False,33.84,66.16,2.25,0.79,6.36,3.62,10.06
NOCIL,2024-03-22 17:58:39,2023-12-31,False,33.84,66.16,1.52,0.74,6.98,2.85,9.69
NOCIL,2024-04-15 17:27:16,2024-03-31,False,33.84,66.16,2.18,0.72,7.78,3.52,13.11
NOCIL,2024-07-19 16:35:46,2024-06-30,False,33.84,66.16,3.09,0.74,7.77,4.45,8.54
NOCIL,2024-10-10 11:20:53,2024-09-30,False,33.79,66.21,3.86,1.66,7.91,6.15,7.0
NOCIL,2025-01-13 14:24:44,2024-12-31,False,33.78,66.22,4.16,1.14,7.81,5.93,6.82
NOCIL,2025-04-18 16:26:48,2025-03-31,False,33.76,66.24,4.0,0.71,8.15,5.32,10.33
NOCIL,2025-07-18 18:34:20,2025-06-30,False,33.76,66.24,4.18,0.71,6.65,5.19,10.33
NOCIL,2025-10-17 17:17:22,2025-09-30,False,33.76,66.24,5.55,0.7100000000000001,5.1499999999999995,6.569999999999999,13.170000000000002
NOCIL,2026-01-20 18:39:45,2025-12-31,False,33.76,66.24,5.680000000000001,0.7100000000000001,4.47,6.49,18.66
NOCIL,2026-04-16 17:57:50,2026-03-31,False,33.76,66.24,7.13,0.7100000000000001,4.55,7.91,22.64
NOCIL,2026-07-23 12:03:24,2026-06-30,False,33.76,66.24,6.69,0.7100000000000001,4.78,7.470000000000001,21.26
