symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
PANACEABIO,2022-01-06 21:06:51,2021-09-30,False,73.59,26.41,0.0,0.0,0.02,0.42,94.27
PANACEABIO,2022-01-10 17:40:13,2021-12-31,False,73.59,26.41,0.0,0.0,0.0,0.13,94.27
PANACEABIO,2022-04-18 16:10:28,2022-03-31,False,73.59,26.41,0.0,0.0,0.0,0.0,0.0
PANACEABIO,2022-07-18 18:10:23,2022-06-30,False,73.59,26.41,0.0,0.0,0.0,0.0,0.0
PANACEABIO,2022-10-21 14:40:21,2022-09-30,False,73.59,26.41,0.0,0.0,0.14,0.29,0.0
PANACEABIO,2023-01-19 16:40:29,2022-12-31,False,73.59,26.41,0.0,0.0,0.18,0.43,0.0
PANACEABIO,2023-04-11 14:14:19,2023-03-31,False,73.59,26.41,0.0,0.0,0.18,0.43,0.0
PANACEABIO,2023-07-17 12:22:14,2023-06-30,False,73.59,26.41,0.0,0.0,0.22,0.54,0.0
PANACEABIO,2023-10-13 17:06:46,2023-09-30,False,73.59,26.41,0.0,0.0,0.26,0.57,0.0
PANACEABIO,2024-01-19 14:43:56,2023-12-31,False,73.59,26.41,0.0,0.0,0.26,0.69,0.0
PANACEABIO,2024-04-16 17:12:50,2024-03-31,False,73.59,26.41,0.0,0.0,0.27,0.84,0.0
PANACEABIO,2024-07-19 17:22:03,2024-06-30,False,73.46,26.54,0.0,0.0,0.27,1.07,0.0
PANACEABIO,2024-10-15 17:57:51,2024-09-30,False,72.87,27.13,0.0,0.0,0.37,1.16,0.0
PANACEABIO,2025-01-17 14:44:09,2024-12-31,False,72.49,27.51,0.0,0.0,0.38,1.17,0.0
PANACEABIO,2025-04-18 17:18:50,2025-03-31,False,72.48,27.52,0.0,0.0,1.16,1.49,0.0
PANACEABIO,2025-07-18 15:55:30,2025-06-30,False,72.48,27.52,,,0.78,1.52,
PANACEABIO,2025-10-16 17:03:46,2025-09-30,False,72.48,27.52,0.0,,1.06,1.81,
PANACEABIO,2026-01-09 12:22:06,2025-12-31,False,72.48,27.52,0.0,,1.3599999999999999,1.8499999999999999,
PANACEABIO,2026-04-21 17:16:06,2026-03-31,False,72.48,27.52,0.0,,1.6,1.97,
PANACEABIO,2026-07-21 12:26:31,2026-06-30,False,72.48,27.52,0.0,,2.31,2.25,
