symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
PFC,2022-01-07 02:25:01,2021-09-30,False,55.99,44.01,13.17,0.34,17.88,31.54,0.0
PFC,2022-01-20 23:10:05,2021-12-31,False,55.99,44.01,13.08,0.33,16.71,30.29,0.0
PFC,2022-04-20 14:41:09,2022-03-31,False,55.99,44.01,13.07,0.35,16.76,30.34,0.0
PFC,2022-07-21 16:10:16,2022-06-30,False,55.99,44.01,12.2,0.39,16.21,28.95,0.0
PFC,2022-10-21 17:10:44,2022-09-30,False,55.99,44.01,11.46,5.61,16.82,17.27,0.0
PFC,2023-01-20 13:10:27,2022-12-31,False,55.99,44.01,11.62,6.07,16.85,17.93,0.0
PFC,2023-04-20 15:58:27,2023-03-31,False,55.99,44.01,12.23,6.29,16.49,18.67,0.0
PFC,2023-07-05 16:21:28,2023-06-30,False,55.99,44.01,12.24,5.31,17.5,18.13,0.0
PFC,2023-10-16 13:10:14,2023-09-22,False,55.99,44.01,12.38,5.08,16.74,18.07,0.0
PFC,2023-10-20 14:18:50,2023-09-30,False,55.99,44.01,12.2,5.11,16.85,17.89,0.0
PFC,2024-01-19 16:45:59,2023-12-31,False,55.99,44.01,11.64,5.32,17.86,17.52,0.0
PFC,2024-04-21 10:35:28,2024-03-31,False,55.99,44.01,12.63,4.87,17.19,18.26,0.0
PFC,2024-07-19 18:05:20,2024-06-30,False,55.99,44.01,11.65,4.52,17.93,17.08,0.0
PFC,2024-10-18 12:05:13,2024-09-30,False,55.99,44.01,11.59,4.54,17.74,17.48,0.0
PFC,2025-01-20 17:21:46,2024-12-31,False,55.99,44.01,11.57,4.21,18.04,17.16,0.0
PFC,2025-04-15 10:06:25,2025-03-31,False,55.99,44.01,10.84,4.06,18.84,16.18,0.0
PFC,2025-07-21 16:22:21,2025-06-30,False,55.99,44.01,10.87,3.85,18.66,16.12,
PFC,2025-10-13 17:38:43,2025-09-30,False,55.99,44.01,10.58,4.21,18.84,16.03,
PFC,2026-01-06 13:16:11,2025-12-31,False,55.99,44.01,10.09,4.3,18.33,15.479999999999999,
PFC,2026-04-21 16:04:48,2026-03-31,False,55.99,44.01,9.29,4.36,19.64,15.049999999999999,
PFC,2026-07-22 14:59:04,2026-06-30,False,55.99,44.01,9.34,4.36,20.54,14.510000000000002,
