symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
PIDILITIND,2022-01-06 23:25:01,2021-09-30,False,69.99,30.01,4.29,2.74,11.78,19.07,0.0
PIDILITIND,2022-01-13 18:40:09,2021-12-31,False,69.98,30.02,4.42,2.77,11.66,19.14,0.0
PIDILITIND,2022-04-15 12:40:27,2022-03-31,False,69.94,30.06,4.0,3.02,11.57,18.87,0.0
PIDILITIND,2022-07-13 10:40:07,2022-06-30,False,69.94,30.06,3.97,3.21,11.13,18.61,0.0
PIDILITIND,2022-10-20 12:10:21,2022-09-30,False,69.94,30.06,4.04,3.4,11.34,7.75,0.0
PIDILITIND,2023-01-17 12:40:12,2022-12-31,False,69.94,30.06,4.08,3.75,11.08,8.13,0.0
PIDILITIND,2023-04-20 12:30:19,2023-03-31,False,69.94,30.06,4.21,3.95,10.61,8.47,0.0
PIDILITIND,2023-07-19 15:41:42,2023-06-30,False,69.92,30.08,3.88,3.79,11.34,7.93,0.0
PIDILITIND,2023-10-16 14:24:33,2023-09-30,False,69.86,30.14,3.57,4.19,11.44,8.02,0.0
PIDILITIND,2024-01-15 17:10:36,2023-12-31,False,69.84,30.16,3.49,4.56,11.49,8.32,0.0
PIDILITIND,2024-04-15 16:42:53,2024-03-31,False,69.77,30.23,3.6,5.07,11.31,8.94,0.0
PIDILITIND,2024-07-18 11:51:29,2024-06-30,False,69.75,30.25,3.55,5.14,11.58,8.98,0.0
PIDILITIND,2024-10-16 16:22:30,2024-09-30,False,69.6,30.4,3.62,4.98,11.96,8.91,0.0
PIDILITIND,2025-02-04 14:27:22,2024-12-31,False,69.6,30.4,4.05,4.7,11.79,9.16,0.0
PIDILITIND,2025-04-17 15:04:36,2025-03-31,False,69.5,30.5,4.88,4.07,11.6,9.43,0.0
PIDILITIND,2025-07-18 17:37:45,2025-06-30,False,69.36,30.64,4.64,3.97,12.13,9.15,
PIDILITIND,2025-10-02 11:48:20,2025-09-24,False,69.33,30.67,4.61,3.9,12.17,9.1,
PIDILITIND,2025-10-17 17:56:27,2025-09-30,False,69.33,30.67,4.66,3.91,12.09,9.16,
PIDILITIND,2026-01-20 19:11:35,2025-12-31,False,69.33,30.67,4.5600000000000005,3.9600000000000004,12.0,9.26,
PIDILITIND,2026-04-17 17:31:08,2026-03-31,False,69.32,30.68,4.34,4.51,11.75,9.64,
PIDILITIND,2026-07-20 18:25:18,2026-06-30,False,69.24,30.76,4.33,4.67,11.690000000000001,9.879999999999999,
