symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
PNB,2022-01-06 21:06:51,2021-09-30,False,73.15,26.85,2.45,8.7,2.21,13.42,0.0
PNB,2022-01-07 16:40:09,2021-12-31,False,73.15,26.85,2.87,8.7,1.19,12.8,0.0
PNB,2022-04-13 17:40:30,2022-03-31,False,73.15,26.85,2.87,8.69,1.36,12.96,0.0
PNB,2022-07-12 17:40:14,2022-06-30,False,73.15,26.85,2.73,8.69,0.99,12.44,0.0
PNB,2022-10-18 16:40:34,2022-09-30,False,73.15,26.85,3.56,8.69,1.22,12.29,0.0
PNB,2023-01-13 14:10:06,2022-12-31,False,73.15,26.85,4.05,8.87,1.71,12.98,0.0
PNB,2023-04-11 12:43:35,2023-03-31,False,73.15,26.85,4.61,8.87,1.7,13.53,0.0
PNB,2023-07-13 19:58:10,2023-06-30,False,73.15,26.85,4.68,8.72,1.82,13.45,0.0
PNB,2023-10-10 16:24:00,2023-09-30,False,73.15,26.85,4.85,8.91,2.65,13.8,0.0
PNB,2024-01-08 17:53:24,2023-12-31,False,73.15,26.85,4.81,8.88,3.1,13.74,0.0
PNB,2024-04-12 17:03:08,2024-03-31,False,73.15,26.85,3.43,8.89,4.82,12.36,0.0
PNB,2024-07-09 16:18:00,2024-06-30,False,73.15,26.85,1.91,8.72,5.51,10.77,0.0
PNB,2024-10-03 11:36:29,2024-09-27,False,70.08,29.92,3.21,8.54,8.32,11.95,0.0
PNB,2024-10-08 18:22:08,2024-09-30,False,70.08,29.92,2.87,8.54,8.41,11.66,0.0
PNB,2025-01-08 18:44:59,2024-12-31,False,70.08,29.92,5.36,8.89,5.7,14.31,0.0
PNB,2025-04-08 12:08:34,2025-03-31,False,70.08,29.92,4.71,9.91,5.7,14.67,0.0
PNB,2025-07-14 19:22:42,2025-06-30,False,70.08,29.92,5.12,9.83,5.52,15.07,
PNB,2025-10-16 16:40:20,2025-09-30,False,70.08,29.92,5.52,9.85,5.67,15.540000000000001,
PNB,2026-01-16 13:34:19,2025-12-31,False,70.08,29.92,6.21,9.51,5.94,16.08,
PNB,2026-04-17 19:21:36,2026-03-31,False,70.08,29.92,6.23,9.42,6.39,16.05,
PNB,2026-07-18 18:22:52,2026-06-30,False,70.08,29.92,6.510000000000001,9.4,5.93,16.07,
