symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
PNBHOUSING,2022-01-06 21:06:51,2021-03-31,False,32.64,67.36,2.08,0.85,24.51,27.82,0.0
PNBHOUSING,2022-01-07 00:55:01,2021-09-30,False,32.58,67.42,1.5,1.28,25.95,29.06,0.0
PNBHOUSING,2022-01-21 15:40:07,2021-12-31,False,32.57,67.43,0.87,1.3,24.3,26.79,0.0
PNBHOUSING,2022-04-08 13:40:22,2022-03-31,False,32.57,67.43,0.85,1.27,23.96,26.29,0.0
PNBHOUSING,2022-07-21 17:40:21,2022-06-30,False,32.57,67.43,0.84,1.49,23.96,26.34,0.0
PNBHOUSING,2022-10-14 12:40:06,2022-09-30,False,32.57,67.43,1.9,1.34,23.24,3.29,0.0
PNBHOUSING,2023-01-20 18:10:31,2022-12-31,False,32.53,67.47,1.54,1.37,23.64,2.99,0.0
PNBHOUSING,2023-04-20 17:38:17,2023-03-31,False,32.52,67.48,1.85,1.09,24.29,3.65,0.0
PNBHOUSING,2023-05-10 17:54:55,2023-05-04,False,28.15,71.85,3.65,0.69,25.82,6.28,0.0
PNBHOUSING,2023-07-19 17:49:34,2023-06-30,False,28.15,71.85,4.45,0.73,24.78,7.6,0.0
PNBHOUSING,2023-10-20 19:00:32,2023-09-30,False,28.14,71.86,4.0,1.18,24.81,7.73,0.0
PNBHOUSING,2024-04-18 18:41:15,2024-03-31,False,28.13,71.87,3.37,0.69,25.01,6.88,0.0
PNBHOUSING,2024-05-24 16:52:59,2023-12-31,False,28.13,71.87,4.26,0.77,24.7,7.86,0.0
PNBHOUSING,2024-07-19 15:50:46,2024-06-30,False,28.13,71.87,5.86,1.86,17.89,10.95,0.0
PNBHOUSING,2024-10-19 12:37:38,2024-09-30,False,28.11,71.89,16.03,3.46,20.42,22.18,0.0
PNBHOUSING,2025-01-10 17:34:40,2024-12-31,False,28.11,71.89,18.72,5.36,24.34,26.86,0.0
PNBHOUSING,2025-04-17 18:25:04,2025-03-31,False,28.1,71.9,20.09,6.68,21.44,29.87,0.0
PNBHOUSING,2026-04-30 14:46:44,2025-09-30,False,28.04,71.96,28.89,7.62,18.61,40.69,
PNBHOUSING,2026-05-05 11:28:29,2025-06-30,False,28.08,71.92,26.76,7.870000000000001,24.18,37.99,
PNBHOUSING,2026-07-20 17:50:42,2026-06-30,False,28.03,71.97,33.62,7.090000000000001,16.81,45.71,
PNBHOUSING,2026-08-03 15:50:52,2026-03-31,False,28.04,71.96,31.11,7.870000000000001,16.6,44.07,
PNBHOUSING,2026-08-03 15:51:41,2025-12-31,False,28.04,71.96,30.009999999999998,7.95,17.22,43.03,
