symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
POWERGRID,2022-01-07 00:55:01,2021-09-30,False,51.34,48.66,8.22,0.12,27.87,36.25,0.0
POWERGRID,2022-04-12 16:10:25,2022-03-31,False,51.34,48.66,8.25,0.13,29.35,45.37,0.0
POWERGRID,2022-07-07 13:10:17,2021-12-31,False,51.34,48.66,8.25,0.12,28.19,36.61,0.0
POWERGRID,2022-07-19 17:10:24,2022-06-30,False,51.34,48.66,8.44,0.11,30.25,45.42,0.0
POWERGRID,2022-11-21 11:40:03,2022-09-30,False,51.34,48.66,8.31,4.93,31.69,13.81,0.0
POWERGRID,2023-01-13 16:10:23,2022-12-31,False,51.34,48.66,8.46,3.68,32.77,12.74,0.0
POWERGRID,2023-04-12 16:58:39,2023-03-31,False,51.34,48.66,9.1,3.66,32.29,13.39,0.0
POWERGRID,2023-07-18 13:20:06,2023-06-30,False,51.34,48.66,8.74,3.18,33.14,12.58,0.0
POWERGRID,2023-10-16 15:27:41,2023-09-30,False,51.34,48.66,9.49,2.96,32.01,13.22,0.0
POWERGRID,2024-01-16 12:33:48,2023-12-31,False,51.34,48.66,10.52,3.48,30.51,14.79,0.0
POWERGRID,2024-04-18 17:49:35,2024-03-31,False,51.34,48.66,10.91,3.57,29.83,15.28,0.0
POWERGRID,2024-07-12 12:07:15,2024-06-30,False,51.34,48.66,11.61,3.71,28.73,16.33,0.0
POWERGRID,2024-10-18 12:58:32,2024-09-30,False,51.34,48.66,12.26,3.6,28.26,16.9,0.0
POWERGRID,2025-01-20 18:47:14,2024-12-31,False,51.34,48.66,12.11,3.63,28.12,17.04,0.0
POWERGRID,2025-04-11 11:49:27,2025-03-31,False,51.34,48.66,13.0,3.87,26.78,18.35,0.0
POWERGRID,2025-07-19 17:50:10,2025-06-30,False,51.34,48.66,12.81,3.87,26.51,18.55,
POWERGRID,2025-10-13 17:10:59,2025-09-30,False,51.34,48.66,13.350000000000001,4.12,25.669999999999998,19.39,
POWERGRID,2026-01-14 18:38:11,2025-12-31,False,51.34,48.66,14.249999999999998,4.54,24.73,20.26,
POWERGRID,2026-04-16 14:37:55,2026-03-31,False,51.34,48.66,13.56,4.97,25.03,20.13,
POWERGRID,2026-07-14 23:15:00,2026-06-30,False,51.34,48.66,13.62,5.38,24.33,20.7,
