symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
RCF,2022-01-06 21:06:51,2021-09-30,False,75.0,25.0,0.02,0.29,1.04,1.34,0.0
RCF,2022-01-07 04:10:02,2021-12-31,False,75.0,25.0,0.02,0.29,1.2,1.51,0.0
RCF,2022-04-12 15:10:29,2022-03-31,False,75.0,25.0,0.02,0.29,1.57,1.87,0.0
RCF,2022-07-12 14:40:09,2022-06-30,False,75.0,25.0,0.02,0.28,2.95,3.25,0.0
RCF,2022-10-20 15:40:50,2022-09-30,False,75.0,25.0,0.39,0.27,3.07,0.66,0.0
RCF,2023-01-12 14:40:07,2022-12-31,False,75.0,25.0,0.83,0.21,2.97,1.14,0.0
RCF,2023-04-13 11:04:23,2023-03-31,False,75.0,25.0,0.87,0.21,2.37,1.16,0.0
RCF,2023-07-13 11:03:39,2023-06-30,False,75.0,25.0,0.03,0.21,2.27,0.35,0.0
RCF,2023-10-09 15:47:53,2023-09-30,False,75.0,25.0,0.04,0.21,2.55,0.34,0.0
RCF,2024-01-11 14:24:39,2023-12-31,False,75.0,25.0,0.05,0.21,2.92,0.35,0.0
RCF,2024-04-08 11:28:51,2024-03-31,False,75.0,25.0,0.05,0.2,2.58,0.35,0.0
RCF,2024-07-09 15:36:09,2024-06-30,False,75.0,25.0,0.06,0.19,2.4,0.35,0.0
RCF,2024-10-15 11:06:20,2024-09-30,False,75.0,25.0,0.08,0.19,2.32,0.29,0.0
RCF,2025-01-13 14:30:42,2024-12-31,False,75.0,25.0,0.1,0.19,2.26,0.29,0.0
RCF,2025-04-07 17:33:46,2025-03-31,False,75.0,25.0,0.11,0.19,2.46,0.3,0.0
RCF,2025-07-10 16:06:47,2025-06-30,False,75.0,25.0,0.12,0.19,2.28,0.31,
RCF,2025-10-10 11:23:44,2025-09-30,False,75.0,25.0,0.12,0.2,2.31,0.33,
RCF,2026-01-06 16:20:16,2025-12-31,False,75.0,25.0,0.18,0.21,2.5,0.41000000000000003,
RCF,2026-04-11 11:57:29,2026-03-31,False,75.0,25.0,0.13999999999999999,0.22999999999999998,2.6,0.38999999999999996,
RCF,2026-07-16 11:51:35,2026-06-30,False,75.0,25.0,0.06999999999999999,0.22999999999999998,2.4299999999999997,0.31,
