symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
SBILIFE,2022-01-06 21:06:51,2021-09-30,False,55.69,44.31,10.93,0.0,24.48,36.54,0.0
SBILIFE,2022-01-07 15:40:08,2021-12-31,False,55.69,44.31,11.4,0.0,24.47,36.47,0.0
SBILIFE,2022-06-22 11:10:11,2022-03-31,False,55.48,44.52,11.87,0.0,24.15,36.61,0.0
SBILIFE,2022-07-06 15:40:05,2022-06-30,False,55.48,44.52,11.98,0.0,23.9,36.19,0.0
SBILIFE,2023-01-30 12:40:03,2022-12-31,False,55.45,44.55,11.32,2.43,25.09,14.94,0.0
SBILIFE,2023-01-30 12:40:03,2022-09-30,False,55.46,44.54,11.69,2.64,24.33,15.65,0.0
SBILIFE,2023-04-12 19:55:56,2023-03-31,False,55.45,44.55,11.09,2.66,25.13,15.08,0.0
SBILIFE,2023-07-07 20:07:55,2023-06-30,False,55.45,44.55,10.57,2.2,26.22,14.15,0.0
SBILIFE,2023-10-12 13:21:27,2023-09-30,False,55.44,44.56,10.91,1.97,26.18,14.28,0.0
SBILIFE,2024-01-11 18:58:43,2023-12-31,False,55.43,44.57,11.5,1.77,25.92,14.63,0.0
SBILIFE,2024-04-18 23:50:25,2024-03-31,False,55.42,44.58,12.33,1.68,25.16,15.41,0.0
SBILIFE,2024-07-18 19:06:32,2024-06-30,False,55.41,44.59,12.76,1.73,24.71,15.89,0.0
SBILIFE,2024-10-16 20:10:15,2024-09-30,False,55.39,44.61,12.19,1.67,25.19,15.32,0.0
SBILIFE,2025-01-13 16:24:55,2024-12-31,False,55.38,44.62,14.79,1.55,22.48,17.92,0.0
SBILIFE,2025-04-11 20:15:07,2025-03-31,False,55.38,44.62,15.0,1.94,21.88,18.67,0.0
SBILIFE,2025-11-28 14:46:46,2025-09-30,False,55.36,44.64,15.02,1.43,21.85,18.69,
SBILIFE,2025-11-28 14:47:18,2025-06-30,False,55.37,44.63,14.63,1.66,22.34,18.240000000000002,
SBILIFE,2026-01-13 17:12:23,2025-12-31,False,55.34,44.66,15.010000000000002,1.28,21.88,18.72,
SBILIFE,2026-04-16 22:16:12,2026-03-31,False,55.33,44.67,15.27,1.22,21.51,19.13,
SBILIFE,2026-07-17 23:38:01,2026-06-30,False,55.32,44.68,15.870000000000001,1.1199999999999999,20.95,19.66,
