symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
SHRIRAMFIN,2022-01-07 00:55:01,2021-09-30,False,25.58,74.42,6.28,8.0,53.67,68.49,0.0
SHRIRAMFIN,2022-01-19 12:10:17,2021-12-31,False,26.06,73.94,6.29,8.4,53.15,68.35,0.0
SHRIRAMFIN,2022-07-11 15:40:13,2022-03-31,False,26.45,73.55,5.3,8.26,53.88,67.87,0.0
SHRIRAMFIN,2022-07-15 14:40:13,2022-06-30,False,29.3,70.7,6.42,8.26,49.97,65.19,0.0
SHRIRAMFIN,2022-10-18 16:10:33,2022-09-30,False,29.37,70.63,6.71,7.37,50.64,14.52,0.0
SHRIRAMFIN,2022-12-13 21:40:04,2022-12-12,False,25.24,74.76,6.31,5.38,42.21,12.09,0.0
SHRIRAMFIN,2023-05-03 16:09:52,2022-12-31,False,25.29,74.71,5.67,5.24,42.91,11.14,0.0
SHRIRAMFIN,2023-07-19 17:42:11,2023-06-30,False,25.48,74.52,8.84,5.6,55.36,14.67,0.0
SHRIRAMFIN,2023-08-03 11:24:20,2023-03-31,False,25.51,74.49,6.04,5.52,49.78,11.75,0.0
SHRIRAMFIN,2023-10-18 16:45:37,2023-09-30,False,25.45,74.55,9.57,5.0,54.67,15.18,0.0
SHRIRAMFIN,2024-03-01 11:41:21,2023-12-31,False,25.43,74.57,10.97,3.89,53.97,15.78,0.0
SHRIRAMFIN,2024-04-19 17:25:04,2024-03-31,False,25.42,74.58,10.8,3.87,53.9,15.69,0.0
SHRIRAMFIN,2024-07-18 16:58:24,2024-06-30,False,25.41,74.59,10.18,3.67,54.28,15.24,0.0
SHRIRAMFIN,2024-10-17 19:34:54,2024-09-30,False,25.4,74.6,10.64,3.98,53.29,16.22,0.0
SHRIRAMFIN,2025-01-21 16:27:13,2024-12-31,False,25.4,74.6,10.51,3.54,53.08,15.94,0.0
SHRIRAMFIN,2025-05-13 15:47:23,2025-03-31,False,25.4,74.6,9.98,3.17,53.58,15.33,0.0
SHRIRAMFIN,2025-07-18 19:45:10,2025-06-30,False,25.39,74.61,10.52,3.51,52.62,16.33,
SHRIRAMFIN,2025-10-17 16:52:25,2025-09-30,False,25.39,74.61,11.940000000000001,4.07,49.61,18.66,
SHRIRAMFIN,2026-01-20 13:10:12,2025-12-31,False,25.38,74.62,14.39,3.95,47.22,21.3,
SHRIRAMFIN,2026-04-08 14:51:35,2026-04-08,False,20.3,79.7,13.07,3.01,56.13,18.63,
SHRIRAMFIN,2026-04-17 16:04:51,2026-03-31,False,25.38,74.62,16.34,3.7699999999999996,45.15,23.29,
SHRIRAMFIN,2026-07-21 16:39:16,2026-06-30,False,20.3,79.7,13.81,3.2,54.769999999999996,19.900000000000002,
