symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
SRF,2022-01-06 21:06:51,2021-09-30,False,50.77,49.23,10.23,0.17,19.18,29.6,0.0
SRF,2022-01-06 23:10:01,2021-10-15,False,50.77,49.23,9.29,0.17,18.81,28.28,0.0
SRF,2022-01-12 11:10:11,2021-12-31,False,50.73,49.27,8.97,0.18,19.09,28.25,0.0
SRF,2022-04-28 19:40:03,2022-03-31,False,50.73,49.27,8.53,0.17,19.6,28.32,0.0
SRF,2022-07-12 11:40:06,2022-06-30,False,50.73,49.27,9.18,0.17,19.21,28.58,0.0
SRF,2022-10-20 15:40:50,2022-09-30,False,50.53,49.47,9.21,4.05,19.22,14.03,0.0
SRF,2023-01-19 11:40:11,2022-12-31,False,50.53,49.47,9.26,4.42,18.32,14.85,0.0
SRF,2023-04-18 11:06:13,2023-03-31,False,50.53,49.47,8.41,5.11,18.51,14.94,0.0
SRF,2023-07-18 15:15:26,2023-06-30,False,50.53,49.47,7.29,5.03,20.03,13.71,0.0
SRF,2024-04-19 20:04:40,2024-03-31,False,50.3,49.7,8.38,6.22,19.08,15.97,0.0
SRF,2024-06-04 17:13:02,2023-12-31,False,50.53,49.47,7.81,5.25,19.6,14.53,0.0
SRF,2024-06-04 17:13:13,2023-09-30,False,50.53,49.47,7.39,5.22,19.79,14.13,0.0
SRF,2024-07-18 10:00:13,2024-06-30,False,50.26,49.74,8.44,6.86,18.75,16.56,0.0
SRF,2024-10-17 10:56:55,2024-09-30,False,50.26,49.74,9.8,7.39,18.29,17.77,0.0
SRF,2025-01-21 12:22:48,2024-12-31,False,50.26,49.74,9.6,7.51,18.36,17.77,0.0
SRF,2025-04-21 10:31:50,2025-03-31,False,50.26,49.74,9.06,7.95,18.27,18.43,0.0
SRF,2025-07-18 12:06:24,2025-06-30,False,50.26,49.74,10.36,7.47,18.23,18.85,
SRF,2025-10-09 12:44:55,2025-09-30,False,50.26,49.74,11.01,7.37,17.98,19.53,
SRF,2026-01-20 14:38:15,2025-12-31,False,50.26,49.74,11.67,6.890000000000001,17.48,20.18,
SRF,2026-04-16 18:05:22,2026-03-31,False,50.26,49.73,12.33,7.000000000000001,16.66,21.17,
SRF,2026-07-14 15:17:05,2026-06-30,False,50.26,49.73,13.469999999999999,7.37,15.45,22.439999999999998,
