symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
SUPREMEIND,2022-01-18 10:10:07,2021-12-31,False,48.85,51.15,17.02,2.35,16.16,35.86,0.0
SUPREMEIND,2022-04-15 11:40:26,2022-03-31,False,48.85,51.15,17.11,2.2,16.16,35.81,0.0
SUPREMEIND,2022-07-19 15:40:21,2022-06-30,False,48.85,51.15,17.38,1.99,15.79,35.48,0.0
SUPREMEIND,2022-10-20 13:40:18,2022-09-30,False,48.85,51.15,17.0,1.79,16.33,19.14,0.0
SUPREMEIND,2023-01-16 15:40:10,2022-12-31,False,48.85,51.15,16.28,1.91,17.41,18.52,0.0
SUPREMEIND,2023-04-18 16:38:38,2023-03-31,False,48.85,51.15,15.67,1.93,18.1,17.96,0.0
SUPREMEIND,2023-07-17 14:54:04,2023-06-30,False,48.85,51.15,15.0,1.79,19.05,17.11,0.0
SUPREMEIND,2023-10-16 15:35:00,2023-09-30,False,48.85,51.15,11.11,1.17,23.86,12.53,0.0
SUPREMEIND,2024-01-11 15:40:15,2023-12-31,False,48.85,51.15,10.89,0.88,24.65,11.94,0.0
SUPREMEIND,2024-04-09 15:30:54,2024-03-31,False,48.85,51.15,10.49,0.79,24.68,11.41,0.0
SUPREMEIND,2024-07-10 15:54:45,2024-06-30,False,48.85,51.15,10.12,1.25,25.06,11.48,0.0
SUPREMEIND,2024-10-16 15:07:05,2024-09-30,False,48.85,51.15,9.1,1.36,25.92,10.61,0.0
SUPREMEIND,2025-01-13 14:58:19,2024-12-31,False,48.85,51.15,10.01,1.8,24.7,11.95,0.0
SUPREMEIND,2025-04-09 16:41:28,2025-03-31,False,48.85,51.15,10.48,2.45,22.93,13.25,0.0
SUPREMEIND,2025-07-14 15:29:13,2025-06-30,False,48.9,51.1,9.13,3.15,21.94,14.6,
SUPREMEIND,2025-10-18 16:34:59,2025-09-30,False,48.9,51.1,9.86,3.46,20.66,16.05,
SUPREMEIND,2026-01-13 16:14:34,2025-12-31,False,48.96,51.04,9.98,4.0,19.23,17.21,
SUPREMEIND,2026-04-13 13:04:16,2026-03-31,False,48.96,51.04,10.8,5.0,17.119999999999997,19.23,
SUPREMEIND,2026-07-17 15:00:00,2026-06-30,False,48.96,51.04,10.67,5.33,17.080000000000002,19.08,
