symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
TCS,2022-01-06 21:06:51,2021-09-30,False,72.19,27.81,3.11,4.66,15.37,23.26,0.47
TCS,2022-01-12 20:40:04,2021-12-31,False,72.19,27.81,3.32,4.46,14.98,22.91,0.47
TCS,2022-04-12 19:10:28,2022-03-31,False,72.3,27.7,3.22,4.48,14.15,21.96,0.48
TCS,2022-07-08 17:40:07,2022-06-30,False,72.3,27.7,3.38,4.88,13.5,21.86,0.48
TCS,2022-10-21 18:40:27,2022-09-30,False,72.3,27.7,3.34,5.13,13.05,8.58,0.48
TCS,2023-01-20 19:10:20,2022-12-31,False,72.3,27.7,3.31,5.43,12.94,9.31,0.48
TCS,2023-04-21 18:39:30,2023-03-31,False,72.3,27.7,3.47,5.57,12.72,9.64,0.48
TCS,2023-07-19 19:13:09,2023-06-30,False,72.3,27.7,3.48,5.74,12.46,9.86,0.48
TCS,2023-10-12 13:55:31,2023-09-30,False,72.3,27.7,3.49,5.9,12.47,10.06,0.48
TCS,2024-01-19 16:38:23,2023-12-31,False,72.41,27.59,3.51,5.92,12.47,10.09,0.48
TCS,2024-04-18 17:06:01,2024-03-31,False,71.77,28.23,4.05,5.98,12.7,10.67,0.28
TCS,2024-07-20 14:38:21,2024-06-30,False,71.77,28.23,4.25,6.13,12.36,11.06,0.28
TCS,2024-10-14 17:06:59,2024-09-30,False,71.77,28.23,4.25,5.96,12.66,10.91,0.28
TCS,2025-01-17 18:52:22,2024-12-31,False,71.77,28.23,4.32,5.83,12.68,10.91,0.0
TCS,2025-04-18 16:43:58,2025-03-31,False,71.77,28.23,5.0,5.75,12.04,11.56,0.0
TCS,2025-07-21 20:57:34,2025-06-30,False,71.77,28.23,5.13,6.03,11.47,12.01,
TCS,2025-10-20 17:49:27,2025-09-30,False,71.77,28.23,5.59,6.2,10.33,12.7,
TCS,2026-01-21 18:57:09,2025-12-31,False,71.77,28.23,5.52,6.4399999999999995,10.37,12.870000000000001,
TCS,2026-04-21 15:54:45,2026-03-31,False,71.77,28.23,5.7700000000000005,6.69,9.66,13.41,
TCS,2026-07-21 15:44:00,2026-06-30,False,71.77,28.23,5.680000000000001,6.710000000000001,9.06,13.469999999999999,
