symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
TECHM,2022-01-06 23:55:01,2021-09-30,False,35.7,64.29,9.81,6.77,35.54,52.45,0.0
TECHM,2022-01-13 20:10:03,2021-12-31,False,35.67,64.32,9.6,7.38,35.35,52.58,0.0
TECHM,2022-04-19 20:10:28,2022-03-31,False,35.26,64.74,10.6,7.15,34.26,52.32,0.0
TECHM,2022-07-19 17:10:24,2022-06-30,False,35.24,64.76,12.8,7.66,30.43,51.16,0.0
TECHM,2022-10-20 20:10:11,2022-09-30,False,35.22,64.78,12.86,9.27,28.2,23.81,0.0
TECHM,2023-01-17 20:40:03,2022-12-31,False,35.19,64.81,11.97,10.32,27.95,23.94,0.0
TECHM,2023-04-14 17:14:44,2023-03-31,False,35.18,64.82,12.93,11.37,26.87,25.85,0.0
TECHM,2023-07-19 17:22:18,2023-06-30,False,35.16,64.84,12.83,12.55,25.69,26.96,0.0
TECHM,2023-10-13 19:51:08,2023-09-30,False,35.13,64.87,12.36,13.04,26.22,27.13,0.0
TECHM,2024-01-15 20:39:18,2023-12-31,False,35.11,64.89,14.24,13.09,24.58,29.02,0.0
TECHM,2024-05-08 15:49:27,2024-03-31,False,35.09,64.91,14.0,13.74,24.15,29.52,0.0
TECHM,2024-07-19 18:07:23,2024-06-30,False,35.05,64.95,15.27,13.98,23.28,30.76,0.0
TECHM,2024-10-16 19:35:00,2024-09-30,False,35.03,64.97,15.81,13.76,23.66,31.0,0.0
TECHM,2025-01-20 21:21:47,2024-12-31,False,35.01,64.99,16.02,13.06,24.2,30.74,0.0
TECHM,2025-04-21 12:36:14,2025-03-31,False,35.01,64.99,17.19,13.06,22.95,32.12,0.0
TECHM,2025-07-21 18:49:39,2025-06-30,False,35.0,65.0,16.51,13.59,23.28,32.13,
TECHM,2025-10-21 11:58:38,2025-09-30,False,34.98,65.02,17.560000000000002,14.82,20.599999999999998,34.64,
TECHM,2026-01-21 19:52:15,2025-12-31,False,34.98,65.02,19.88,15.440000000000001,17.94,37.79,
TECHM,2026-04-21 17:51:32,2026-03-31,False,34.97,65.03,19.06,15.36,18.59,37.330000000000005,
TECHM,2026-07-21 17:52:43,2026-06-30,False,34.97,65.03,19.139999999999997,14.81,18.66,36.919999999999995,
