symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
TIINDIA,2022-01-06 21:06:51,2021-06-30,False,46.66,53.34,13.23,0.0,25.82,40.64,0.03
TIINDIA,2022-01-07 00:55:01,2021-09-30,False,46.49,53.51,13.73,0.0,25.21,40.89,0.03
TIINDIA,2022-01-19 15:40:10,2021-12-31,False,46.48,53.52,13.14,0.0,26.09,41.04,0.12
TIINDIA,2022-04-20 18:10:30,2022-03-31,False,46.46,53.54,12.35,0.0,26.06,40.4,0.11
TIINDIA,2022-07-19 16:40:30,2022-06-30,False,46.45,53.55,12.72,0.0,25.9,40.6,0.11
TIINDIA,2022-11-30 16:10:37,2022-09-30,False,46.45,53.55,12.66,0.24,26.3,14.08,0.11
TIINDIA,2023-01-20 18:10:31,2022-12-31,False,46.43,53.57,10.43,0.13,28.83,11.76,0.11
TIINDIA,2023-04-21 12:12:54,2023-03-31,False,46.21,53.79,10.34,0.28,28.92,11.8,0.03
TIINDIA,2023-07-19 20:43:24,2023-06-30,False,46.13,53.87,10.54,0.83,29.41,12.27,0.03
TIINDIA,2023-11-07 16:33:03,2023-09-30,False,46.11,53.89,9.14,1.45,30.42,11.48,0.01
TIINDIA,2024-07-15 13:17:37,2023-12-31,False,45.1,54.9,10.19,3.01,28.83,14.14,0.01
TIINDIA,2025-02-07 15:06:18,2024-03-31,False,45.1,54.9,9.98,3.89,28.32,14.81,0.01
TIINDIA,2025-02-07 15:07:01,2024-12-31,False,44.11,55.89,9.66,4.57,28.24,15.04,0.01
TIINDIA,2025-02-07 15:07:38,2024-09-30,False,44.97,55.03,9.52,4.37,28.39,14.72,0.01
TIINDIA,2025-02-12 17:25:31,2024-06-30,False,45.04,54.96,10.36,4.16,27.41,15.5,0.01
TIINDIA,2025-04-20 18:10:28,2025-03-31,False,44.1,55.9,10.32,5.08,26.93,16.11,0.01
TIINDIA,2025-07-21 15:36:37,2025-06-30,False,44.09,55.91,10.43,4.97,26.31,16.79,0.01
TIINDIA,2025-10-21 12:15:57,2025-09-30,False,44.09,55.91,11.35,5.04,25.44,17.71,0.01
TIINDIA,2026-01-20 19:04:25,2025-12-31,False,44.05,55.95,12.78,5.2,23.150000000000002,19.67,0.01
TIINDIA,2026-04-21 14:41:57,2026-03-31,False,44.04,55.96,14.69,5.0,21.42,21.75,0.01
TIINDIA,2026-07-21 17:56:25,2026-06-30,False,43.93,56.07,14.149999999999999,5.01,22.34,21.02,0.01
