symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
TINPLATE,2022-01-07 00:40:01,2021-09-30,False,74.96,25.04,0.0,0.0,2.61,2.62,0.0
TINPLATE,2022-01-19 11:10:09,2021-12-31,False,74.96,25.04,0.0,0.0,2.66,2.66,0.0
TINPLATE,2022-04-19 15:40:31,2022-03-31,False,74.96,25.04,0.0,0.0,2.97,2.98,0.0
TINPLATE,2022-07-20 13:10:23,2022-06-30,False,74.96,25.04,0.0,0.0,3.01,3.02,0.0
TINPLATE,2022-10-21 15:40:30,2022-09-30,False,74.96,25.04,0.0,0.0,2.84,0.01,0.0
TINPLATE,2023-01-19 13:10:24,2022-12-31,False,74.96,25.04,0.0,0.0,2.26,0.01,0.0
TINPLATE,2023-04-19 12:10:14,2023-03-31,False,74.96,25.04,0.0,0.0,1.99,0.03,0.0
TINPLATE,2023-07-19 15:58:14,2023-06-30,False,74.96,25.04,0.0,0.0,2.13,0.01,0.0
TINPLATE,2023-10-19 11:36:19,2023-09-30,False,74.96,25.04,0.02,0.07,2.03,0.16,0.0
TINPLATE,2024-01-08 19:04:06,2023-12-31,False,74.96,25.04,0.03,0.07,2.51,0.33,0.0
