symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
ULTRACEMCO,2022-01-06 21:06:51,2021-09-30,False,59.96,39.95,9.71,4.69,16.48,30.99,0.0
ULTRACEMCO,2022-01-10 19:40:06,2021-12-31,False,59.96,39.94,10.12,4.92,15.74,30.89,0.0
ULTRACEMCO,2022-04-19 18:10:29,2022-03-31,False,59.96,39.95,11.36,4.84,14.03,30.42,0.0
ULTRACEMCO,2022-07-15 17:40:16,2022-06-30,False,59.96,39.95,12.8,5.16,13.12,31.28,0.0
ULTRACEMCO,2022-10-20 19:10:35,2022-09-30,False,59.96,39.91,12.68,4.36,14.57,17.41,0.0
ULTRACEMCO,2023-01-13 16:10:23,2022-12-31,False,59.96,39.91,13.76,3.51,14.63,17.5,0.0
ULTRACEMCO,2023-04-20 16:08:31,2023-03-31,False,59.96,39.9,13.85,3.0,15.3,17.03,0.0
ULTRACEMCO,2023-07-18 18:05:47,2023-06-30,False,59.96,39.9,13.39,2.43,16.33,16.05,0.0
ULTRACEMCO,2023-10-18 12:23:59,2023-09-30,False,59.96,39.86,13.6,1.31,17.17,15.15,0.0
ULTRACEMCO,2024-01-12 15:41:39,2023-12-31,False,59.96,39.87,12.46,1.2,18.72,13.78,0.0
ULTRACEMCO,2024-04-19 19:13:00,2024-03-31,False,59.95,39.87,12.22,1.83,18.26,14.24,0.0
ULTRACEMCO,2024-07-10 15:08:22,2024-06-30,False,59.99,39.84,11.81,1.98,18.65,13.93,0.0
ULTRACEMCO,2024-10-18 17:44:49,2024-09-30,False,59.99,39.84,11.64,2.33,18.47,14.19,0.0
ULTRACEMCO,2025-01-20 16:18:52,2024-12-31,False,60.0,39.81,12.26,2.65,17.48,15.16,0.0
ULTRACEMCO,2025-04-18 15:30:12,2025-03-31,False,59.23,40.59,13.78,2.74,15.71,16.8,0.0
ULTRACEMCO,2025-07-21 18:37:16,2025-06-30,False,59.23,40.59,13.9,2.74,15.72,16.85,
ULTRACEMCO,2025-10-16 12:54:13,2025-09-30,False,59.23,40.57,14.06,2.34,15.82,16.650000000000002,
ULTRACEMCO,2026-01-20 14:25:09,2025-12-31,False,59.29,40.53,14.67,2.5100000000000002,14.93,17.45,
ULTRACEMCO,2026-04-17 15:18:50,2026-03-31,False,59.33,40.5,15.24,2.88,14.11,18.42,
ULTRACEMCO,2026-07-15 16:05:25,2026-06-30,False,59.33,40.5,15.98,3.34,12.86,19.689999999999998,
