symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
VISAKAIND,2022-01-06 23:10:01,2021-09-30,False,45.85,54.15,0.01,0.0,5.6,5.63,9.41
VISAKAIND,2022-01-20 22:10:07,2021-12-31,False,45.86,54.14,0.01,0.0,5.64,5.68,9.41
VISAKAIND,2022-02-02 14:10:04,2022-01-22,False,48.36,51.64,0.01,0.0,5.38,5.42,8.51
VISAKAIND,2022-05-24 17:40:20,2022-03-31,False,48.36,51.64,0.01,0.0,4.78,4.81,13.59
VISAKAIND,2022-07-11 16:10:14,2022-06-30,False,48.36,51.64,0.01,0.0,4.51,4.54,13.89
VISAKAIND,2022-10-17 12:10:13,2022-09-30,False,48.36,51.64,0.01,0.0,4.53,1.07,14.25
VISAKAIND,2023-01-12 17:10:17,2022-12-31,False,48.42,51.58,0.01,0.0,3.72,0.95,15.21
VISAKAIND,2023-04-13 15:24:27,2023-03-31,False,48.42,51.58,0.01,0.0,3.83,0.95,15.86
VISAKAIND,2023-07-15 14:48:12,2023-06-30,False,48.42,51.58,0.01,0.0,3.21,0.78,15.86
VISAKAIND,2023-10-11 15:40:26,2023-09-30,False,48.42,51.58,0.01,0.0,0.81,0.1,12.14
VISAKAIND,2024-01-12 15:43:42,2023-12-31,False,48.42,51.58,0.01,0.0,0.34,0.02,12.14
VISAKAIND,2024-04-17 18:25:44,2024-03-31,False,48.42,51.58,0.0,0.0,0.72,0.3,12.14
VISAKAIND,2024-07-11 16:54:14,2024-06-30,False,48.42,51.58,0.0,0.0,0.31,0.01,12.26
VISAKAIND,2024-10-08 17:31:05,2024-09-30,False,48.42,51.58,0.0,0.0,0.39,0.03,12.26
VISAKAIND,2025-01-13 15:43:27,2024-12-31,False,48.42,51.58,0.05,0.0,0.36,0.06,12.26
VISAKAIND,2025-04-11 10:16:46,2025-03-31,False,48.42,51.58,0.05,0.0,0.46,0.06,4.95
VISAKAIND,2025-07-15 17:24:09,2025-06-30,False,48.42,51.58,0.07,,0.14,0.09,4.95
VISAKAIND,2025-10-09 11:39:00,2025-09-30,False,53.24,46.76,0.0,,0.18,0.03,
VISAKAIND,2026-01-12 15:12:28,2025-12-31,False,53.24,46.76,0.0,,0.13,0.15,
VISAKAIND,2026-04-14 15:20:45,2026-03-31,False,53.24,46.76,0.0,,0.1,0.15,
VISAKAIND,2026-07-17 17:00:24,2026-06-30,False,53.4,46.6,0.0,,0.03,0.15,
