symbol,timed_rows,duplicate_days
HANGSENGBEES-NAV,621,5
NIFTY100EQLWGT,8,8
NIFTY100LIQ15,763,763
NIFTY100LOWVOL30,172,172
NIFTY100QUALTY30,98,98
NIFTY200QUALTY30,6,6
NIFTY50DIVPOINT,856,4
NIFTY50EQLWGT,194,0
NIFTY50PR1XINV,856,856
NIFTY50PR2XLEV,856,856
NIFTY50TR1XINV,856,856
NIFTY50TR2XLEV,856,479
NIFTYALPHALOWVOL,6,6
NIFTYCOMMODITIES,700,700
NIFTYCPSE,99,99
NIFTYDIVOPPS50,856,4
NIFTYGROWSECT15,763,763
NIFTYGS10YR,5,0
NIFTYGS15YRPLUS,6,0
NIFTYGS48YR,763,232
NIFTYGS813YR,763,232
NIFTYGSCOMPSITE,6,0
NIFTYMIDCAP50,2662,9
NIFTYMIDLIQ15,763,763
NIFTYMIDSML400,5,5
NIFTYMNC,1842,4
NIFTYPSE,1843,4
NIFTYSERVSECTOR,856,4
NIFTYSMLCAP50,5,5
