symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
NICOLASPIR,2005-01-03,2005-01-03,316.95,130.85889378873844,782.1777655281539,2005-01-13,260.0,time,8,31,-17.968133775043384,-18.262775860766684,0.29464208572330025
AUROPHARMA,2005-01-05,2005-01-05,315.2,295.625548540475,364.13612864881253,2005-01-17,308.7,time,8,31,-2.062182741116747,-2.3812599623730923,0.31907722125634513
HCLTECH,2005-01-05,2005-01-05,334.85,313.063926948451,389.31518262887255,2005-01-10,313.063926948451,stop,3,29,-6.506218620740334,-6.818468798533469,0.3122501777931346
HINDOILEXP,2005-01-05,2005-01-05,83.25,75.14090933664602,103.52272665838497,2005-01-17,88.5,time,8,120,6.3063063063063085,5.974373194594596,0.3319331117117117
STERLINBIO,2005-01-05,2005-01-05,155.5,146.07693765894916,179.05765585262708,2005-01-17,164.9,time,8,64,6.045016077170429,5.713484366302262,0.3315317108681672
NAVBARFERO,2005-01-06,2005-01-06,329.1,300.26726801525984,401.18182996185055,2005-01-18,324.0,time,8,30,-1.5496809480401108,-1.869545487876027,0.3198645398359162
ONGC,2005-01-06,2005-01-06,785.4,751.2001496725696,870.8996258185758,2005-01-18,788.0,time,8,12,0.3310415075121087,0.008287752941189441,0.32275375457091926
SATYAMCOMP,2005-01-06,2005-01-06,378.65,354.390595416326,439.29851145918497,2005-01-12,354.390595416326,stop,4,26,-6.406814890710155,-6.719217775097859,0.31240288438770397
SCI,2005-01-06,2005-01-06,163.1,149.91943184194133,196.05142039514666,2005-01-12,149.91943184194133,stop,4,61,-8.081280293107707,-8.391110820208146,0.30983052710044034
GESHIPPING,2005-01-07,2005-01-07,161.7,148.4032842247887,194.9417894380282,2005-01-13,148.4032842247887,stop,4,61,-8.22307716463283,-8.532689859692514,0.30961269505968475
GLAXO,2005-01-10,2005-01-10,706.1,661.0258711251284,818.7853221871791,2005-01-20,672.0,time,8,14,-4.829344285511972,-5.144170521257617,0.3148262357456451
HCLTECH,2005-01-10,2005-01-10,312.15,287.91020317264827,372.7494920683793,2005-01-20,301.1,time,8,32,-3.5399647605317774,-3.856771774627565,0.3168070140957873
AMTEKAUTO,2005-01-11,2005-01-11,160.45,144.542740530894,200.21814867276493,2005-01-24,152.05,time,8,62,-5.235275786849469,-5.5494784200685405,0.3142026332190714
INFOSYSTCH,2005-01-11,2005-01-11,1971.65,1830.4441154075785,2324.6647114810544,2005-01-24,1960.0,time,8,5,-0.590875662516166,-0.9122131439606413,0.32133748144447544
INFOTECENT,2005-01-11,2005-01-11,166.95,150.8622446264205,207.1693884339487,2005-01-24,175.1,time,8,59,4.88170110811621,4.551956511949693,0.32974459616651697
SEAMECLTD,2005-01-11,2005-01-11,71.05,60.05185937401659,98.54535156495852,2005-01-24,62.6,time,8,140,-11.893033075299076,-12.197007888669942,0.30397481337086557
WIPRO,2005-01-11,2005-01-11,675.9,635.5761595887054,776.7096010282363,2005-01-24,677.0,time,8,14,0.16274596833851795,-0.15974924624943893,0.3224952145879569
