pair,entry,exit_reason,pnl_pct
APOLLOHOSP/DIVISLAB,2005-01-31,time,-12.721271667150175
IDBI/INDUSINDBK,2005-04-07,reverted,3.906620910564812
BANKINDIA/INDUSINDBK,2005-04-29,reverted,5.360826912551042
BANKINDIA/INDUSINDBK,2005-05-18,reverted,3.2024550178820608
FEDERALBNK/IDBI,2008-09-22,window_end,-0.7238833868179917
HINDALCO/HINDZINC,2008-10-06,reverted,4.306595386903162
HINDALCO/HINDZINC,2008-10-24,window_end,3.2883397517261104
LUPIN/SUNPHARMA,2009-01-02,reverted,5.215438261338662
IDBI/PNB,2009-06-09,reverted,3.067773905268689
NATIONALUM/TATASTEEL,2009-07-03,reverted,5.652645182871052
NATIONALUM/TATASTEEL,2009-07-27,window_end,0.5708490588854476
CESC/TATAPOWER,2009-07-31,window_end,0.0
MRPL/ONGC,2009-08-17,reverted,2.0245823137944874
CHAMBLFERT/TATACHEM,2009-07-31,time,-2.552101140485419
HCLTECH/TECHM,2009-09-17,window_end,1.6813447363286549
MARUTI/TVSMOTOR,2009-09-16,reverted,5.883127327481802
COLPAL/ITC,2009-12-23,reverted,0.7601330473490431
BPCL/IOC,2009-12-31,reverted,1.8871511006019581
BPCL/IOC,2010-01-20,window_end,-1.4200381750814062
CANBK/PNB,2010-02-01,reverted,1.7055254067708137
OFSS/TECHM,2010-02-26,reverted,-0.2750337305749473
OFSS/TECHM,2010-03-30,window_end,-1.671721721789654
INDIANB/UNIONBANK,2010-04-26,window_end,-1.125480904848497
FEDERALBNK/UNIONBANK,2010-05-04,reverted,2.1096174765812714
FEDERALBNK/UNIONBANK,2010-05-18,window_end,-7.050864076479963
CANBK/YESBANK,2010-07-23,reverted,1.397748921985692
CIPLA/FORTIS,2010-08-16,reverted,-0.19598673582178483
BHARATFORG/MRF,2010-09-03,reverted,-1.2598997145983115
HINDALCO/NMDC,2010-09-30,reverted,2.0835055020264504
HINDALCO/NMDC,2010-10-25,reverted,2.400601164781213
FEDERALBNK/UNIONBANK,2010-10-11,reverted,-0.6229713825833705
FEDERALBNK/UNIONBANK,2010-10-28,window_end,-0.3488681219530443
HINDPETRO/RELIANCE,2010-11-08,reverted,2.137441050964084
MRPL/RELIANCE,2010-11-29,window_end,1.493298368298357
BHARATFORG/EXIDEIND,2010-12-01,reverted,2.07816482654179
DRREDDY/FORTIS,2011-01-18,reverted,2.8897257405602392
INDIANB/SBIN,2011-01-05,reverted,-0.08570180780663184
JSWSTEEL/TATASTEEL,2011-02-08,reverted,4.248052662360929
BANKBARODA/BANKINDIA,2011-02-09,reverted,2.4054575511134324
IDBI/PNB,2011-03-31,window_end,0.0
BPCL/ONGC,2011-03-10,reverted,3.404314340118714
BANKBARODA/UNIONBANK,2011-05-06,reverted,-0.3132358430967208
BAJAJ-AUTO/M&M,2011-05-31,reverted,-1.0917934047627087
IFCI/LICHSGFIN,2011-06-23,window_end,-1.594232368641857
M&MFIN/RECLTD,2011-07-14,reverted,1.3110208206268903
JINDALSTEL/WELCORP,2011-08-11,reverted,2.8952957958006453
JINDALSTEL/WELCORP,2011-08-29,window_end,-2.410951300753461
AXISBANK/BANKINDIA,2011-09-20,reverted,1.1655099611714237
JSWSTEEL/NMDC,2012-05-17,reverted,2.8985330609030244
ASIANPAINT/ITC,2012-05-31,reverted,3.986715243958039
ASIANPAINT/ITC,2012-06-28,window_end,0.34833443121946583
NHPC/RPOWER,2012-07-23,window_end,-3.8501951468773052
IOC/ONGC,2012-09-21,reverted,1.9403985345366914
AXISBANK/PNB,2012-11-21,window_end,0.5549992296694839
GRASIM/ULTRACEMCO,2012-11-30,reverted,1.289963913747677
GRASIM/ULTRACEMCO,2012-12-14,window_end,0.609089475100083
BAJAJFINSV/MANAPPURAM,2013-01-03,reverted,-2.3991221953784283
DABUR/HINDUNILVR,2013-03-05,reverted,0.8886325520222171
BAJAJ-AUTO/EXIDEIND,2013-04-22,window_end,3.856088192893703
ICICIBANK/YESBANK,2013-05-16,reverted,1.2610292665587053
ICICIBANK/YESBANK,2013-05-22,window_end,0.0879620083641508
PNB/SBIN,2013-06-20,window_end,-1.6082004248533344
JSWSTEEL/NMDC,2013-07-10,window_end,0.8293390423292302
JUBLFOOD/NESTLEIND,2013-08-20,window_end,3.356143840444137
IDBI/KOTAKBANK,2013-08-30,reverted,3.0075615563256775
IDBI/KOTAKBANK,2013-09-06,reverted,1.4462901439645681
BAJAJFINSV/IFCI,2013-09-13,reverted,3.1986172237781716
CIPLA/DIVISLAB,2013-09-04,reverted,0.051020233292708994
HINDPETRO/IOC,2013-10-22,window_end,-1.0642397649392454
GAIL/HINDPETRO,2013-10-22,reverted,1.6920898175150745
IDEA/TATACOMM,2013-10-04,window_end,-11.217828509107475
AXISBANK/FEDERALBNK,2013-10-03,reverted,3.2297434069775974
AXISBANK/FEDERALBNK,2013-10-14,window_end,43.313416772348745
INDIANB/YESBANK,2013-11-01,reverted,-6.024111245133939
BAJAJ-AUTO/BOSCHLTD,2013-11-12,reverted,0.0643715330667205
BIOCON/CIPLA,2013-10-31,window_end,-8.601771332195607
ADANIPOWER/NHPC,2013-12-04,reverted,1.654698321024256
MCX/MUTHOOTFIN,2013-12-16,reverted,5.603071784187719
BHARTIARTL/TATACOMM,2013-12-24,window_end,-1.4713029661862609
AXISBANK/CANBK,2014-01-24,window_end,-1.9702137969166922
M&MFIN/MUTHOOTFIN,2014-01-08,window_end,-17.86196681418435
CANBK/PNB,2014-01-14,window_end,-2.507207530318012
BAJAJ-AUTO/EICHERMOT,2014-02-07,window_end,7.785176532964455
APOLLOHOSP/GLENMARK,2014-02-28,window_end,0.0
IOC/RELIANCE,2014-03-20,reverted,3.1823206805152546
M&MFIN/MCX,2014-03-11,reverted,2.3624462516729396
FEDERALBNK/HDFCBANK,2014-03-27,window_end,-0.7665131216309184
POWERGRID/SUZLON,2014-03-18,window_end,4.595547305191483
CANBK/SBIN,2014-04-16,reverted,1.8815943609228558
CANBK/INDIANB,2014-04-10,reverted,3.1441207692159745
HEROMOTOCO/TVSMOTOR,2014-05-02,time,-10.867693670680856
MANAPPURAM/MUTHOOTFIN,2014-05-02,reverted,2.9164213736246114
MANAPPURAM/MUTHOOTFIN,2014-05-16,window_end,-0.7137295613807382
LUPIN/WOCKPHARMA,2014-05-27,window_end,-6.498888809783077
GODREJCP/MARICO,2014-05-02,reverted,-1.2000780993342786
FSL/HCLTECH,2014-06-03,reverted,1.7173954424366977
HCLTECH/OFSS,2014-05-30,reverted,2.4990869622201597
ASHOKLEY/CUMMINSIND,2014-06-24,window_end,-0.8651208389247933
APOLLOHOSP/DIVISLAB,2014-06-30,reverted,1.3038485092235708
APOLLOHOSP/DIVISLAB,2014-07-22,window_end,4.8267356968094255
