symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
ABCAPITAL,Financial Services,2022-08-10,2022-08-11,106.4,93,100.49898430757743,121.15253923105644,2022-08-23,108.9,time,7,2.3496240601503793,2.023769306578951,32.243979575400004
TATASTEEL,Metals,2022-08-10,2022-08-11,110.3,90,10.764818937283806,359.1379526567905,2022-08-23,104.2,time,7,-5.530371713508608,-5.844121012692652,31.14589293
POLYCAB,Capital Goods,2022-09-12,2022-09-13,2550.0,3,2434.069713240549,2839.825716898628,2022-09-22,2589.45,time,7,1.5470588235294125,1.2224369915411772,24.8335701471
NMDC,Metals,2022-10-10,2022-10-11,137.45,72,130.21394246310243,155.5401438422439,2022-10-12,130.21394246310243,stop,1,-5.2645016638032445,-5.578659399470267,31.090306152551186
APOLLOTYRE,Unknown:APOLLOTYRE,2022-10-10,2022-10-11,271.5,36,251.83072423839917,320.6731894040021,2022-10-20,287.2,time,7,5.782688766114186,5.451560049281773,32.3645207832
BAJAJFINSV,Financial Services,2022-10-10,2022-10-11,1684.4,5,791.689919547275,3916.1752011318126,2022-10-20,1687.0,time,7,0.154357634766078,-0.1681246934457482,27.159461682
BSE,Financial Services,2022-10-10,2022-10-11,609.5,16,576.3360743570256,692.409814107436,2022-10-20,585.9,time,7,-3.87202625102544,-4.188323143625932,30.845272966400003
GNFC,Unknown:GNFC,2022-10-10,2022-10-11,666.75,14,617.6987795802756,789.3780510493109,2022-10-20,716.65,time,7,7.484064491938502,7.150322077480309,31.153185677600003
BHARATFORG,Auto,2022-11-10,2022-11-11,888.55,11,844.2366306825929,999.3334232935175,2022-11-14,844.2366306825929,stop,1,-4.987155401205001,-5.301739203411629,30.747578119576964
FLUOROCHEM,Unknown:FLUOROCHEM,2022-11-10,2022-11-11,3889.0,2,3626.736033590189,4544.659916024527,2022-11-14,3626.736033590189,stop,1,-6.743737886598378,-7.055623181119801,24.258438207876246
DEVYANI,FMCG,2022-11-10,2022-11-11,176.05,56,162.39384785990126,210.1903803502469,2022-11-22,184.5,time,7,4.799772791820489,4.470154056063602,32.496451920800006
ESCORTS,Unknown:ESCORTS,2022-11-10,2022-11-11,2035.0,4,1919.3888761695434,2324.0278095761414,2022-11-22,2190.0,time,7,7.6167076167076075,7.282761432432423,27.1832194
IDEA,Telecom,2022-11-10,2022-11-11,8.7,1138,8.171326566646481,10.021683583383796,2022-11-22,8.45,time,7,-2.8735632183908066,-3.191393975862071,31.4671519742
IGL,Oil & Gas,2022-12-12,2022-12-13,439.0,22,414.566686074336,500.08328481416,2022-12-22,440.0,time,7,0.2277904328018332,-0.09480470478358821,31.156238388000002
ANGELONE,Financial Services,2023-01-10,2023-01-11,1285.1,7,1191.4284751378236,1519.2788121554408,2023-01-20,1280.0,time,7,-0.39685627577619176,-0.7184918148470811,28.9333681882
CHAMBLFERT,Chemicals,2023-01-10,2023-01-11,309.0,32,290.2003783684612,355.999054078847,2023-01-20,309.7,time,7,0.22653721682848182,-0.0960559955339777,31.8980168384
GNFC,Unknown:GNFC,2023-01-10,2023-01-11,579.0,17,541.5590712941952,672.602321764512,2023-01-20,562.0,time,7,-2.936096718480141,-3.2538314103626975,31.274625721999996
HFCL,Unknown:HFCL,2023-01-10,2023-01-11,72.65,136,66.91867107210693,86.9783223197327,2023-01-20,72.05,time,7,-0.8258774948382785,-1.146853960357893,31.7137586992
MAHABANK,Unknown:MAHABANK,2023-01-10,2023-01-11,29.95,330,26.118577696696043,39.52855575825989,2023-01-20,31.8,time,7,6.176961602671116,5.845227193656091,32.786970315
BHEL,Capital Goods,2023-02-10,2023-02-13,75.9,132,70.28690269148979,89.93274327127557,2023-02-14,70.28690269148979,stop,1,-7.395385123201869,-7.706269340295593,31.14686794218603
BANKINDIA,Banking,2023-02-10,2023-02-13,80.0,125,71.43473994346293,101.41315014134267,2023-02-21,71.43473994346293,stop,6,-10.706575070671342,-11.012372551676824,30.579748100548287
ADANIPOWER,Power,2023-02-10,2023-02-13,156.0,63,132.11769492642486,215.70576268393788,2023-02-22,177.0,time,7,13.461538461538458,13.118613296153843,33.702685254
APLAPOLLO,Metals,2023-02-10,2023-02-13,1197.8,8,1126.9444296779052,1374.9389258052367,2023-02-22,1275.0,time,7,6.445149440641185,6.113003034496586,31.827597222399998
BCG,Unknown:BCG,2023-02-10,2023-02-13,25.0,400,21.665673650146353,33.33581587463412,2023-02-22,24.45,time,7,-2.200000000000002,-2.518865502800002,31.886550279999998
IRB,Unknown:IRB,2023-03-10,2023-03-13,29.5,334,0.9272280285609469,100.93192992859764,2023-03-22,25.45,time,7,-13.72881355932204,-14.029968198983056,29.6727666458
ABB,Capital Goods,2023-04-10,2023-04-11,3383.0,2,3223.030833573808,3782.92291606548,2023-04-12,3223.030833573808,stop,1,-4.728618576003307,-5.043599549202768,21.311612646675513
AARTIIND,Chemicals,2023-04-10,2023-04-11,538.0,17,508.3684876077756,612.078780980561,2023-04-21,547.55,time,7,1.7750929368029578,1.4501207928810247,29.721952283099995
ABCAPITAL,Financial Services,2023-04-10,2023-04-11,160.5,59,150.5354206145258,185.41144846368553,2023-04-21,161.45,time,7,0.591900311526472,0.268745818878497,30.601114681299997
