seed,n_signals,n_resolved,n_unresolved,n_no_fill,mean_net_pct,median_net_pct,std_net_pct,mean_gross_pct,win_rate_pct,hit_rate_pct,expiry_rate_pct,mean_held_days,mean_cost_pct
42,1940,1872,3,65,1.2829068924843325,0.7479798599030276,13.349263279502141,1.607621762834565,52.61752136752137,,100.0,21.0,0.32471487035023233
43,1921,1849,5,67,1.7321757897849452,1.421395581801481,12.876197572885959,2.0575819005977736,56.78745267712277,,100.0,21.0,0.3254061108128277
44,1925,1861,9,55,1.4797969479102329,1.085567062689802,13.229774933354255,1.8048147512562958,54.70177324019344,,100.0,21.0,0.32501780334606345
45,1933,1873,8,52,1.3832196570302715,0.6549941567212116,12.471420412426092,1.708088867558926,53.01655098772024,,100.0,21.0,0.3248692105286546
46,1916,1864,7,45,1.6581039896888756,0.9814786706793567,13.098464182935304,1.9833961343988384,53.862660944206006,,100.0,21.0,0.325292144709963
47,1952,1896,2,54,1.4541186716185481,1.1026117196450305,12.651756969034452,1.779096966635214,54.32489451476793,,100.0,21.0,0.32497829501666614
48,1917,1853,3,61,1.3017266556581755,0.6902375661466456,12.67893537382386,1.6264704819007039,53.5887749595251,,100.0,21.0,0.3247438262425284
49,1918,1850,6,62,1.2853076136267305,0.929024021435343,13.37997811789333,1.6100261777015963,53.891891891891895,,100.0,21.0,0.3247185640748658
50,1934,1861,8,65,1.3893902110870058,0.8310436528797419,12.609575100850002,1.7142689155660902,53.62708221386352,,100.0,21.0,0.3248787044790844
51,1928,1856,5,67,1.38191663756788,0.976781294411939,13.305312526697291,1.7067838432843132,54.040948275862064,,100.0,21.0,0.32486720571643335
52,1921,1859,3,59,1.0234209597867447,0.461888653926683,13.59244079751958,1.3477365877740344,51.80204410973642,,100.0,21.0,0.32431562798728975
53,1924,1851,5,68,1.4280021889544776,0.8721787539439174,13.010651774732558,1.7529403014219695,53.268503511615336,,100.0,21.0,0.32493811246749227
54,1939,1877,3,59,1.8581666618598711,1.1284602202147784,12.429905195883652,2.1837666209208617,54.18220564730953,,100.0,21.0,0.3255999590609908
55,1916,1838,3,75,1.2995525640433618,0.867437652447039,13.38009828722199,1.6242930452510957,53.86289445048966,,100.0,21.0,0.3247404812077339
56,1935,1874,10,51,1.6168508590753277,0.8661196725199212,13.35491006760156,1.9420795321466793,54.055496264674495,,100.0,21.0,0.3252286730713516
57,1918,1851,4,63,1.4010649719162749,0.9451982366713663,13.26507467764879,1.7259616390612036,54.403025391680174,,100.0,21.0,0.3248966671449285
58,1908,1853,11,44,1.412125434540985,0.6814761620871275,13.031334268858561,1.7370391191989158,52.671343766864545,,100.0,21.0,0.3249136846579305
59,1931,1858,8,65,0.9482133984054125,0.2343793288198621,12.441278309167824,1.2724133128193118,51.184068891280944,,100.0,21.0,0.3241999144138992
60,1945,1871,7,67,1.7347210668622266,1.0156747483652095,13.382093475908801,2.0601310938119486,53.981827899518976,,100.0,21.0,0.32541002694972243
61,1908,1840,13,55,0.860756224752157,0.24832053852087183,13.287695623739,1.184821578466358,51.03260869565217,,100.0,21.0,0.32406535371420103
62,1932,1858,10,64,1.4793779045531632,0.43722334073172814,12.920581126195202,1.8043950631634669,52.798708288482246,,100.0,21.0,0.32501715861030334
63,1932,1864,4,64,1.438072994584405,0.5866377316003184,13.13009370412706,1.7630266018889185,53.16523605150214,,100.0,21.0,0.3249536073045134
64,1938,1858,10,70,0.9920719794801302,0.4843088349378335,12.955853562218849,1.3163393742516796,52.63724434876211,,100.0,21.0,0.32426739477154914
65,1928,1864,3,61,1.3430115211216438,0.7271657200802982,13.315273715862649,1.6678188678296946,53.16523605150214,,100.0,21.0,0.32480734670805056
66,1922,1860,7,55,1.3556858552854367,0.9370322178257455,12.684879059625473,1.6805127025924893,53.76344086021505,,100.0,21.0,0.3248268473070529
67,1940,1881,4,55,1.6236155707968591,1.2350825727143273,12.779403437558384,1.9488546519834569,54.54545454545454,,100.0,21.0,0.3252390811865979
68,1943,1865,7,71,1.2819417375520925,0.6159786461033478,13.188240175323765,1.6066551229249628,53.297587131367294,,100.0,21.0,0.3247133853728705
69,1918,1846,7,65,1.074565334078135,0.2932127248273154,13.537876574813401,1.3989596522689012,51.35427952329361,,100.0,21.0,0.3243943181907665
70,1941,1862,6,73,1.4725238586320297,0.9102670715612912,13.361871988227334,1.797530471678414,53.383458646616546,,100.0,21.0,0.3250066130463846
71,1922,1853,6,63,1.1766761318922783,0.6179278451977499,12.248752774426011,1.5012275566967923,52.83324338909876,,100.0,21.0,0.3245514248045141
