symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
BAJFINANCE,BAJAJFINSV,BAJAJFINSV,BAJFINANCE,2019-07-01,2019-07-02,2019-07-12,2019-07-15,reverted,8549.0,7750.7,3706.3,3409.95,-9.64583428391859,7.813001983109854,-0.9164161504043684,0.30790002260147387,0.18284292960634593,2019-07-25,False
BAJFINANCE,RECLTD,BAJFINANCE,RECLTD,2019-07-08,2019-07-09,2019-07-12,2019-07-15,reverted,3410.0,3398.5,152.0,151.45,-0.6589705196774235,0.17214689473685016,-0.24341181247028665,0.32172711791788855,0.1896952105263158,2019-07-25,False
BAJAJFINSV,RECLTD,BAJAJFINSV,RECLTD,2019-07-03,2019-07-04,2019-07-11,2019-07-12,reverted,8420.0,7690.0,168.2,142.9,-8.978760105225648,14.865098478002372,2.943169186388362,0.30892637600950124,0.176518644470868,2019-07-25,False
BAJAJFINSV,RECLTD,BAJAJFINSV,RECLTD,2019-07-25,2019-07-26,2019-07-26,2019-07-29,reverted,6775.0,7235.0,143.7,141.2,6.45699223232472,1.551277146833686,4.004134689579203,0.3326756643542436,0.1884584133611691,2019-08-29,False
ADANIPORTS,CONCOR,CONCOR,ADANIPORTS,2019-07-18,2019-07-19,2019-07-23,2019-07-24,reverted,537.05,536.1,417.1,402.05,-0.4988657353877534,3.4214661855670085,1.4613002250896276,0.3219734534773299,0.18678123711340205,2019-08-29,True
NTPC,POWERGRID,NTPC,POWERGRID,2019-07-08,2019-07-09,2019-07-22,2019-07-23,reverted,128.45,131.45,201.0,204.45,2.0097060043596695,-1.907978567164183,0.0508637185977433,0.3258331159205917,0.19156065671641792,2019-07-25,False
NTPC,ADANIPOWER,NTPC,ADANIPOWER,2019-07-01,2019-07-02,2019-07-19,2019-07-22,reverted,143.0,130.5,61.1,60.7,-9.050075392307692,0.4652321112929607,-4.292421640507365,0.3088166510489511,0.18943237315875613,2019-07-25,False
POWERGRID,ADANIPOWER,POWERGRID,ADANIPOWER,2019-07-01,2019-07-02,2019-07-19,2019-07-22,reverted,207.4,206.0,61.1,60.7,-0.9962323184185209,0.4652321112929607,-0.2655001035627801,0.3212082104146577,0.18943237315875613,2019-07-25,False
ULTRACEMCO,GRASIM,GRASIM,ULTRACEMCO,2019-07-19,2019-07-22,2019-07-31,2019-08-01,window_end,879.0,777.0,4555.2,4320.0,-11.908514249829347,4.977944425711268,-3.4652849120590394,0.30441868668941974,0.18538539515279243,2019-08-29,True
ULTRACEMCO,AMBUJACEM,ULTRACEMCO,AMBUJACEM,2019-07-15,2019-07-16,2019-07-18,2019-07-19,reverted,4590.1,4655.0,219.4,222.95,1.0894952617023437,-1.8095215861440157,-0.360013162220836,0.324417289222457,0.19147236098450318,2019-08-29,True
ULTRACEMCO,AMBUJACEM,ULTRACEMCO,AMBUJACEM,2019-07-24,2019-07-25,2019-07-26,2019-07-29,reverted,4460.0,4499.0,217.3,213.7,0.5508509252466427,1.4681628624022167,1.0095068938244296,0.32358853663677123,0.18853294983893235,2019-08-29,True
GRASIM,AMBUJACEM,GRASIM,AMBUJACEM,2019-07-23,2019-07-24,2019-07-31,2019-08-01,window_end,880.0,777.0,218.6,201.5,-12.008809827500002,7.639508344007317,-2.1846507417463426,0.30426437295454545,0.18299851784080515,2019-08-29,True
SUNPHARMA,AUROPHARMA,AUROPHARMA,SUNPHARMA,2019-07-12,2019-07-15,2019-07-30,2019-07-25,rollover,600.0,550.5,415.0,437.15,-8.559571335500001,-5.53216020240964,-7.045865768954821,0.3095713355,0.1948108048192771,2019-07-25,False
SUNPHARMA,DRREDDY,SUNPHARMA,DRREDDY,2019-07-05,2019-07-08,2019-07-10,2019-07-11,reverted,375.0,394.9,2582.1,2567.6,4.976269227359992,0.3720424762789961,2.6741558518194943,0.3303974393066667,0.18951594516091552,2019-07-25,False
SUNPHARMA,DRREDDY,DRREDDY,SUNPHARMA,2019-07-15,2019-07-16,2019-07-30,2019-07-31,reverted,2622.65,2535.0,420.0,408.55,-3.659150612125148,2.5386175047618993,-0.5602665536816243,0.3171110719653785,0.18757297142857143,2019-08-29,True
AUROPHARMA,DRREDDY,AUROPHARMA,DRREDDY,2019-07-15,2019-07-16,2019-07-30,2019-07-31,reverted,576.0,556.0,2644.25,2538.5,-3.7891333041666657,3.8128133629573626,0.01184002939534845,0.3169110819444445,0.1864302789070625,2019-08-29,True
MARUTI,EICHERMOT,MARUTI,EICHERMOT,2019-07-08,2019-07-09,2019-07-15,2019-07-16,reverted,6060.0,6079.95,18991.85,18760.0,0.006456983024747176,1.0318625894265125,0.5191597862256299,0.3227509377673268,0.18892422175828055,2019-07-25,False
MARUTI,EICHERMOT,EICHERMOT,MARUTI,2019-07-24,2019-07-25,2019-07-31,2019-08-01,reverted,16200.0,15950.0,5739.95,5408.5,-1.8630843574074032,5.589603681739389,1.863259662165993,0.3198744808641975,0.18483686216778894,2019-08-29,True
MARUTI,ASHOKLEY,MARUTI,ASHOKLEY,2019-07-03,2019-07-04,2019-07-18,2019-07-19,reverted,6540.0,5885.0,87.3,78.9,-10.322149970183483,9.440609828178681,-0.44077007100240095,0.3068594503058104,0.18138329896907215,2019-07-25,False
MARUTI,ASHOKLEY,ASHOKLEY,MARUTI,2019-07-23,2019-07-24,2019-07-31,2019-08-01,window_end,74.85,69.9,5797.65,5408.5,-6.925312242484954,6.52820723068829,-0.19855250589833195,0.31208578957915833,0.18399512716359215,2019-08-29,True
