symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2005-02-22,2005-02-23,2005-02-28,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2005-02-23,2005-02-24,2005-02-28,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2005-03-01,2005-03-02,2005-03-07,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2005-03-04,2005-03-07,2005-03-22,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2005-03-01,2005-03-02,2005-03-30,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2005-03-31,2005-04-01,2005-03-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2005-04-28,2005-04-29,2005-04-29,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2005-05-10,2005-05-11,2005-05-30,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2005-05-03,2005-05-04,2005-05-05,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2005-05-18,2005-05-19,2005-05-26,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2005-05-30,2005-05-31,2005-05-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2005-06-17,2005-06-20,2005-06-28,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2005-06-06,2005-06-07,2005-06-30,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2005-06-03,2005-06-06,2005-06-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2005-07-15,2005-07-18,2005-07-29,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2005-07-15,2005-07-18,2005-07-29,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2005-06-30,2005-07-01,2005-07-07,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2005-08-02,2005-08-03,2005-08-09,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2005-09-14,2005-09-15,2005-09-20,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2005-09-12,2005-09-13,2005-09-21,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2005-10-14,2005-10-17,2005-10-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2005-10-03,2005-10-04,2005-10-07,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2005-10-27,2005-10-28,2005-10-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2005-10-24,2005-10-25,2005-10-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2005-10-31,2005-11-01,2005-11-10,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2005-12-06,2005-12-07,2005-12-28,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2005-12-26,2005-12-27,2005-12-30,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2005-12-09,2005-12-12,2005-12-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2006-01-18,2006-01-19,2006-01-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-01-03,2006-01-04,2006-01-05,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2006-01-18,2006-01-19,2006-01-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2006-02-03,2006-02-06,2006-02-20,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-03-01,2006-03-02,2006-03-22,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2006-03-29,2006-03-30,2006-03-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-03-14,2006-03-16,2006-03-24,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-04-17,2006-04-18,2006-04-28,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-04-19,2006-04-20,2006-04-28,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2006-04-17,2006-04-18,2006-04-18,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2006-04-20,2006-04-21,2006-04-28,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-05-31,2006-06-01,2006-05-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2006-05-02,2006-05-03,2006-05-19,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-05-31,2006-06-01,2006-06-28,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-06-21,2006-06-22,2006-06-27,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2006-06-05,2006-06-06,2006-06-15,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2006-07-24,2006-07-25,2006-07-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2006-07-26,2006-07-27,2006-07-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2006-07-24,2006-07-25,2006-07-25,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2006-07-28,2006-07-31,2006-07-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-08-24,2006-08-25,2006-08-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-08-31,2006-09-01,2006-08-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2006-07-31,2006-08-01,2006-08-11,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2006-08-24,2006-08-25,2006-08-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-08-31,2006-09-01,2006-09-01,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2006-09-15,2006-09-18,2006-09-22,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-10-27,2006-10-30,2006-10-31,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2006-09-29,2006-10-03,2006-10-05,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,RELIANCE,HINDPETRO,2006-10-12,2006-10-13,2006-10-16,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,ONGC,HINDPETRO,2006-10-06,2006-10-09,2006-10-17,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,ONGC,HINDPETRO,2006-10-27,2006-10-30,2006-10-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-10-31,2006-11-01,2006-11-15,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2006-11-07,2006-11-08,2006-11-17,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2006-11-30,2006-12-01,2006-11-30,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,ONGC,HINDPETRO,2006-10-31,2006-11-01,2006-11-10,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2006-11-30,2006-12-01,2006-11-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2006-12-13,2006-12-14,2006-12-18,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2006-11-30,2006-12-01,2006-12-20,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2006-11-30,2006-12-01,2006-12-13,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-01-19,2007-01-22,2007-01-25,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,RELIANCE,HINDPETRO,2007-01-04,2007-01-05,2007-01-15,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,ONGC,HINDPETRO,2007-01-17,2007-01-18,2007-01-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-02-20,2007-02-21,2007-02-28,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2007-02-06,2007-02-07,2007-02-28,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2007-02-15,2007-02-19,2007-02-20,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2007-03-28,2007-03-29,2007-03-30,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2007-02-28,2007-03-01,2007-03-05,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2007-03-28,2007-03-29,2007-03-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-04-30,2007-05-03,2007-04-30,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2007-04-25,2007-04-26,2007-04-30,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2007-03-30,2007-04-02,2007-04-02,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2007-04-25,2007-04-26,2007-04-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-04-30,2007-05-03,2007-05-30,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2007-05-21,2007-05-22,2007-05-28,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2007-06-26,2007-06-27,2007-06-29,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2007-06-11,2007-06-12,2007-06-14,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2007-06-28,2007-06-29,2007-06-29,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2007-06-01,2007-06-04,2007-06-14,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-07-18,2007-07-19,2007-07-31,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,GAIL,RELIANCE,2007-07-25,2007-07-26,2007-07-31,,no_fill,,,,,,,,,,,False
ONGC,GAIL,ONGC,GAIL,2007-07-18,2007-07-19,2007-07-25,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-08-13,2007-08-14,2007-08-31,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2007-08-17,2007-08-20,2007-08-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-09-24,2007-09-25,2007-09-27,,no_fill,,,,,,,,,,,False
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2007-09-19,2007-09-20,2007-09-27,,no_fill,,,,,,,,,,,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2007-09-19,2007-09-20,2007-09-27,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2007-10-09,2007-10-10,2007-10-11,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2007-10-15,2007-10-16,2007-10-24,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2007-09-28,2007-10-01,2007-10-04,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2007-10-19,2007-10-22,2007-10-31,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,RELIANCE,ONGC,2007-11-01,2007-11-02,2007-11-08,,no_fill,,,,,,,,,,,False
RELIANCE,GAIL,RELIANCE,GAIL,2007-11-08,2007-11-09,2007-11-14,,no_fill,,,,,,,,,,,False
ONGC,GAIL,GAIL,ONGC,2007-11-01,2007-11-02,2007-11-07,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2008-01-14,2008-01-15,2008-01-18,2008-01-21,reverted,1290.0,1200.0,3250.0,2790.6,-7.28827153023256,13.958052536615385,3.3348905031914127,0.3115273441860465,0.17733207876923077,2008-01-31,False
RELIANCE,ONGC,ONGC,RELIANCE,2008-01-23,2008-01-24,2008-01-31,2008-02-01,window_end,1025.0,995.05,2655.0,2514.0,-3.2397076420780513,5.125481378531071,0.9428868682265099,0.3177564225658536,0.18525308474576271,2008-02-28,True
RELIANCE,MRPL,MRPL,RELIANCE,2008-01-08,2008-01-09,2008-01-17,2008-01-18,reverted,136.0,125.6,3060.0,2998.7,-7.957556412941183,1.8150461071895487,-3.071255152875817,0.31049758941176475,0.18822186666666668,2008-01-31,False
RELIANCE,MRPL,MRPL,RELIANCE,2008-01-21,2008-01-22,2008-01-31,2008-02-01,window_end,84.0,80.2,2135.0,2514.0,-4.839105129999995,-17.95771041686184,-11.398407773430918,0.3152956061904762,0.20595397658079628,2008-02-28,True
ONGC,MRPL,MRPL,ONGC,2008-01-10,2008-01-11,2008-01-17,2008-01-18,reverted,123.55,125.6,1291.0,1250.3,1.3344530895184032,2.9654046568551533,2.149928873186778,0.32479417879401057,0.18719023082881486,2008-01-31,False
ONGC,MRPL,MRPL,ONGC,2008-01-21,2008-01-22,2008-01-31,2008-02-01,window_end,84.0,80.2,990.15,961.7,-4.839105129999995,2.685861100843303,-1.0766220145783458,0.3152956061904762,0.18744092410240873,2008-02-28,True
RELIANCE,ONGC,RELIANCE,ONGC,2008-03-03,2008-03-04,2008-03-28,2008-03-27,rollover,2320.0,2290.0,975.15,1071.05,-1.6133621491379364,-10.033231797159413,-5.823296973148675,0.320258700862069,0.19884734348561758,2008-03-27,False
ONGC,GAIL,GAIL,ONGC,2008-03-27,2008-03-28,2008-03-31,2008-04-01,window_end,420.0,427.0,1077.4,992.0,1.341861089999994,7.743584514572129,4.542722802286062,0.32480557666666665,0.18290518284759608,2008-04-24,False
RELIANCE,ONGC,ONGC,RELIANCE,2008-04-11,2008-04-15,2008-04-28,2008-04-29,reverted,1002.0,1052.0,2525.0,2600.0,4.660108961676645,-3.1629831683168343,0.7485628966799054,0.32991099840319366,0.19268613861386139,2008-05-29,True
RELIANCE,GAIL,GAIL,RELIANCE,2008-04-10,2008-04-11,2008-04-30,2008-04-24,rollover,428.3,445.0,2480.1,2582.65,3.570900965257999,-4.3286454134913965,-0.37887222411669885,0.32823515428438016,0.19373149872988993,2008-04-24,False
ONGC,GAIL,ONGC,GAIL,2008-03-31,2008-04-01,2008-04-07,2008-04-08,reverted,1000.0,1020.0,428.0,427.0,1.674682348000002,0.04383457943925512,0.8592584637196286,0.32531765199999996,0.1898102803738318,2008-04-24,False
