symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
PARSVNATH,9,6.772936984883476,60.956432863951285,66.66666666666666,(unmapped)
COREPROTEC,9,6.717350925080289,60.456158325722605,55.55555555555556,(unmapped)
SOBHA,8,6.012542379789903,48.10033903831923,50.0,(unmapped)
RPL,9,5.286678566934081,47.58010710240673,66.66666666666666,(unmapped)
RUSHIL,6,5.148557514431489,30.89134508658893,83.33333333333334,(unmapped)
DCHL,11,5.088151649570927,55.969668145280195,54.54545454545454,(unmapped)
MYSORECEM,6,4.8828974164832575,29.297384498899547,66.66666666666666,(unmapped)
3IINFOTECH,13,4.873180420893596,63.35134547161675,69.23076923076923,(unmapped)
I-FLEX,12,4.837078299699283,58.044939596391394,75.0,(unmapped)
GRAVITA,5,4.681388485040996,23.40694242520498,80.0,(unmapped)
OIL,5,4.647342211675548,23.236711058377743,80.0,Oil & Gas
JYOTISTRUC,7,4.310889372220813,30.176225605545692,57.14285714285714,(unmapped)
CENTRALBK,8,4.155278276661671,33.24222621329337,75.0,(unmapped)
RUCHISOYA,11,4.0189656735736685,44.20862240931036,63.63636363636363,(unmapped)
VSNL,12,3.981997610570565,47.78397132684678,75.0,(unmapped)
SUVEN,14,3.8778273252405344,54.28958255336748,64.28571428571429,(unmapped)
GESHIP,7,3.5113975976046476,24.579783183232532,71.42857142857143,Logistics
GITANJALI,23,3.3659098203898834,77.41592586896732,43.47826086956522,(unmapped)
PATELENG,14,3.3638676860427035,47.09414760459785,57.14285714285714,(unmapped)
NATIONALUM,16,3.338155415743267,53.41048665189227,68.75,Metals
UFLEX,11,3.3228348651544337,36.55118351669877,54.54545454545454,(unmapped)
HCC,11,3.2559079042320778,35.81498694655286,45.45454545454545,(unmapped)
GTCIND,18,3.198751161599721,57.57752090879497,50.0,(unmapped)
KSCL,7,2.968868772463506,20.782081407244544,57.14285714285714,(unmapped)
SUBEX,7,2.9017092480454494,20.311964736318146,57.14285714285714,(unmapped)
WOCKPHARMA,22,2.886400088351545,63.50080194373399,59.09090909090909,Pharma
BANKINDIA,47,2.8849669525658332,135.59344677059417,63.829787234042556,Banking
GHCL,12,2.865871639784301,34.39045967741161,66.66666666666666,(unmapped)
SAKHTISUG,18,2.862476800838656,51.52458241509581,50.0,(unmapped)
ISPATIND,19,2.8383632131659646,53.92890105015333,57.89473684210527,(unmapped)
ADANIPOWER,17,2.8331064846198397,48.162810238537276,52.94117647058824,Power
JUBILANT,9,2.793375773208123,25.140381958873107,55.55555555555556,(unmapped)
RAJESHEXPO,18,2.7387228803588863,49.29701184645995,50.0,(unmapped)
J&KBANK,10,2.7206564493570986,27.206564493570987,60.0,(unmapped)
