symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
ACC,2008-11-04,2008-11-05,519.0,,,2009-05-21,765.0,time,126,19,47.39884393063585,47.00378339421967,0.39506053641618494
STERLINBIO,2008-11-11,2008-11-12,178.0,,,2009-05-28,134.85,time,126,56,-24.241573033707866,-24.526577698932584,0.2850046652247191
HINDUNILVR,2008-11-12,2008-11-14,237.6,,,2009-05-29,232.0,time,126,42,-2.3569023569023573,-2.6755268222222224,0.3186244653198653
MTNL,2009-02-12,2009-02-13,69.5,,,2009-08-21,93.75,time,126,143,34.89208633093526,34.51623900071943,0.3758473302158274
PETRONET,2009-02-12,2009-02-13,37.65,,,2009-08-21,69.85,time,126,265,85.52456839309428,85.07093812749004,0.45363026560424957
RCF,2009-02-13,2009-02-16,39.8,,,2009-08-24,65.35,time,126,251,64.19597989949747,63.77511516608039,0.42086473341708536
CIPLA,2009-02-16,2009-02-17,189.0,,,2009-08-25,260.0,time,126,52,37.566137566137556,37.18618228888888,0.3799552772486773
NAGARFERT,2009-02-16,2009-02-17,17.0,,,2009-08-25,33.3,time,126,588,95.88235294117646,95.41281077764705,0.46954216352941175
GTOFFSHORE,2009-02-17,2009-02-18,246.0,,,2009-08-26,522.0,time,126,40,112.19512195121952,111.70051968780488,0.49460226341463415
LITL,2009-02-17,2009-02-18,116.15,,,2009-08-26,429.8,time,126,86,270.03874300473524,269.301657266724,0.7370857380111926
TATACHEM,2009-02-17,2009-02-18,140.0,,,2009-08-26,255.05,time,126,71,82.17857142857143,81.7300813705,0.4484900580714286
ONGC,2009-02-18,2009-02-19,675.0,,,2009-08-27,1165.0,time,126,14,72.59259259259258,72.15882876444444,0.4337638281481481
GNFC,2009-02-20,2009-02-24,54.25,,,2009-08-31,95.0,time,126,184,75.11520737327189,74.67756823870967,0.43763913456221193
SUNTV,2009-02-20,2009-02-24,164.0,,,2009-08-31,260.0,time,126,60,58.53658536585367,58.124414741463426,0.41217062439024393
SAIL,2009-02-24,2009-02-25,79.0,,,2009-09-01,162.75,time,126,126,106.01265822784809,105.52755362594935,0.4851046018987343
JSWSTEEL,2009-03-02,2009-03-03,170.0,,,2009-09-07,730.0,time,126,58,329.4117647058823,328.58346858823523,0.8282961176470588
NATIONALUM,2009-03-02,2009-03-03,200.0,,,2009-09-07,339.6,time,126,50,69.80000000000001,69.37052622520001,0.42947377479999993
GMDCLTD,2009-03-03,2009-03-04,33.75,,,2009-09-08,122.4,time,126,296,262.6666666666667,261.940906104,0.7257605626666668
ITC,2009-03-03,2009-03-04,173.0,,,2009-09-08,232.0,time,126,57,34.104046242774565,33.729409520231215,0.3746367225433526
DABUR,2009-03-04,2009-03-05,86.5,,,2009-09-09,133.55,time,126,115,54.393063583815035,53.987258345317926,0.4058052384971099
BHEL,2009-03-05,2009-03-06,1280.0,,,2009-09-10,2255.0,time,126,7,76.171875,75.73261258515625,0.43926241484375
TATAPOWER,2009-03-09,2009-03-12,631.0,,,2009-09-14,1266.0,time,126,15,100.63391442155307,100.1570727857369,0.4768416358161648
GLAXO,2009-03-20,2009-03-23,1095.0,,,2009-09-24,1452.0,time,126,9,32.60273972602741,32.23040934958905,0.3723303764383562
BRFL,2009-03-24,2009-03-25,139.0,,,2009-09-29,225.0,time,126,71,61.870503597122294,61.4532113208633,0.41729227625899284
HINDALCO,2009-03-24,2009-03-25,49.95,,,2009-09-29,128.6,time,126,200,157.45745745745742,156.89332201741738,0.56413544004004
IDEA,2009-03-24,2009-03-25,47.5,,,2009-09-29,76.6,time,126,210,61.26315789473682,60.84679863873682,0.416359256
PUNJLLOYD,2009-03-24,2009-03-25,80.6,,,2009-09-29,261.25,time,126,124,224.13151364764272,223.46495178895785,0.6665618586848635
SUNPHARMA,2009-03-25,2009-03-26,1065.0,,,2009-09-30,1399.0,time,126,9,31.361502347417836,30.99107879211267,0.3704235553051643
CESC,2009-03-30,2009-03-31,208.5,,,2009-10-06,378.0,time,126,47,81.29496402877699,80.84783139136691,0.447132637410072
EDUCOMP,2009-03-30,2009-03-31,2080.0,,,2009-10-06,5001.0,time,126,4,140.43269230769232,139.89471075451925,0.5379815531730769
HCC,2009-03-30,2009-03-31,38.0,,,2009-10-06,127.5,time,126,263,235.52631578947367,234.84224893947368,0.6840668500000001
IVRCLINFRA,2009-03-30,2009-03-31,120.7,,,2009-10-06,380.0,time,126,82,214.8301574150787,214.17788454167356,0.6522728734051366
LICHSGFIN,2009-03-30,2009-03-31,219.4,,,2009-10-06,761.2,time,126,45,246.94621695533274,246.24460655624432,0.7016103990884229
UNITECH,2009-03-30,2009-03-31,35.05,,,2009-10-06,102.05,time,126,285,191.15549215406566,190.5395889169758,0.6159032370898716
VIDEOIND,2009-03-30,2009-03-31,88.0,,,2009-10-06,250.0,time,126,113,184.0909090909091,183.48585865,0.6050504409090909
ASIANPAINT,2009-03-31,2009-04-01,793.0,,,2009-10-07,1439.75,time,126,12,81.55737704918033,81.10984128606557,0.447535763114754
HDFC,2009-03-31,2009-04-01,1411.0,,,2009-10-07,2758.0,time,126,7,95.46420978029767,94.99530997916372,0.46889980113394764
PATNI,2009-04-01,2009-04-02,130.3,,,2009-10-08,430.0,time,126,76,230.00767459708365,229.33208562716808,0.6755889699155792
ALOKTEXT,2009-04-16,2009-04-17,15.0,,,2009-10-21,22.3,time,126,666,48.66666666666668,48.26965846800001,0.3970081986666667
GLENMARK,2009-04-16,2009-04-17,187.0,,,2009-10-21,215.2,time,126,53,15.0802139037433,14.734802087058807,0.34541181668449195
HCLTECH,2009-04-16,2009-04-17,118.65,,,2009-10-21,312.0,time,126,84,162.9582806573957,162.3856947097345,0.5725859476611884
ROLTA,2009-04-16,2009-04-17,100.1,,,2009-10-21,191.65,time,126,99,91.45854145854146,90.99579526923077,0.46274618931068945
SINTEX,2009-04-21,2009-04-22,132.0,,,2009-10-26,241.1,time,126,75,82.65151515151514,82.20229854499999,0.44921660651515144
CUMMINSIND,2009-04-22,2009-04-23,203.1,,,2009-10-27,372.35,time,126,49,83.33333333333334,82.8830693,0.4502640333333333
GDL,2009-04-22,2009-04-23,67.0,,,2009-10-27,116.8,time,126,149,74.32835820895522,73.89192785253731,0.43643035641791056
TITAN,2009-04-22,2009-04-23,770.0,,,2009-10-27,1288.8,time,126,12,67.37662337662339,66.95087245600001,0.4257509206233766
PRAJIND,2009-04-28,2009-04-29,63.0,,,2009-11-03,82.9,time,126,158,31.587301587301585,31.21653115333333,0.370770433968254
TATACOMM,2009-05-27,2009-05-28,522.0,,,2009-11-30,385.15,time,126,19,-26.21647509578544,-26.49844586511494,0.28197076932950194
