symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
ALEMBICLTD,Unknown:ALEMBICLTD,2005-01-03,2005-01-04,298.0,33,274.90498807928924,355.7375298017768,2005-01-05,274.90498807928924,stop,1,-7.750004000238508,-8.060343442593238,30.51878076116411
BILT,Unknown:BILT,2005-01-03,2005-01-04,100.0,99,93.26877876076166,116.82805309809584,2005-01-05,93.26877876076166,stop,1,-6.731221239238339,-7.043125762158869,30.878547769132453
HINDALC0,Unknown:HINDALC0,2005-01-03,2005-01-04,1489.0,6,1411.7334715747102,1682.1663210632248,2005-01-05,1411.7334715747102,stop,1,-5.189155703511739,-5.503429187601956,28.077193068619984
IGL,Oil & Gas,2005-01-03,2005-01-04,112.0,88,104.01452326432027,131.9636918391993,2005-01-05,104.01452326432027,stop,1,-7.129889942571188,-7.441182020264272,30.680947177430323
SUNPHARMA,Pharma,2005-01-03,2005-01-04,548.15,17,508.1551715810773,648.1370710473068,2005-01-06,508.1551715810773,stop,2,-7.296329183421091,-7.6073655728249605,28.984081464794304
MTNL,Unknown:MTNL,2005-01-05,2005-01-06,158.0,60,147.21724903701,184.95687740747502,2005-01-06,147.21724903701,stop,0,-6.824525925943048,-7.13628711177794,29.554960417147782
SAWPIPES,Unknown:SAWPIPES,2005-01-06,2005-01-07,214.4,40,193.27205123116076,267.21987192209815,2005-01-12,193.27205123116076,stop,3,-9.854453716809353,-10.161560248793794,26.337456182985648
GAIL,Oil & Gas,2005-01-05,2005-01-06,234.9,40,214.9217722816949,284.84556929576274,2005-01-17,220.0,time,7,-6.343124733929328,-6.655625460791823,29.362568296000003
IPCL,Unknown:IPCL,2005-01-05,2005-01-06,175.0,53,161.1458952779991,209.63526180500227,2005-01-17,170.0,time,7,-2.857142857142858,-3.174998840000001,29.48114241
MASTEK,Unknown:MASTEK,2005-01-05,2005-01-06,312.0,30,285.9398819485735,377.1502951285663,2005-01-17,363.4,time,7,16.47435897435896,16.126805435769217,32.531011211999996
D-LINK,Unknown:D-LINK,2005-01-06,2005-01-07,123.5,74,113.09869989483741,149.50325026290648,2005-01-18,119.6,time,7,-3.157894736842115,-3.475288696842115,29.006634004400006
