symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
NMDC,Metals,2019-07-03,2019-07-04,118.0,86,111.77749848719485,133.55625378201287,2019-07-05,111.77749848719485,stop,1,-5.273306366784025,-5.587450576437406,31.87935439562509
HDFCLIFE,Insurance,2019-06-27,2019-06-28,457.95,21,436.8103833907751,510.7990415230622,2019-07-09,465.4,time,7,1.6268151544928555,1.3020707987553295,31.230502319099998
LICHSGFIN,Financial Services,2019-07-09,2019-07-10,573.15,17,542.5420157865153,649.6699605337114,2019-07-10,542.5420157865153,stop,0,-5.340309554825906,-5.654350832439734,30.598768904942144
ADANIPOWER,Power,2019-07-01,2019-07-02,60.75,165,54.996494543381694,75.13376364154577,2019-07-11,63.35,time,7,4.279835390946496,3.9510153965432036,32.960094189
IBVENTURES,Unknown:IBVENTURES,2019-07-05,2019-07-08,332.35,30,287.84595023500583,443.6101244124855,2019-07-15,287.84595023500583,stop,5,-13.390717546259722,-13.692391577806502,30.078409315371665
JUSTDIAL,Unknown:JUSTDIAL,2019-07-09,2019-07-10,803.0,12,737.1601737198284,967.5995657004289,2019-07-19,761.05,time,7,-5.224159402241602,-5.538379112739734,30.2782113036
TATACOMM,Telecom,2019-07-11,2019-07-12,505.8,19,466.0516994983672,605.170751254082,2019-07-19,466.0516994983672,stop,5,-7.858501483122337,-8.168674248822926,29.808223129357998
COLPAL,FMCG,2019-07-18,2019-07-19,1207.0,7,1154.498236580394,1338.2544085490151,2019-07-19,1154.498236580394,stop,0,-4.349773274200997,-4.665336239403064,26.661914929922666
BEML,Capital Goods,2019-07-11,2019-07-12,915.8,10,840.7238197782204,1103.4904505544487,2019-07-23,893.4,time,7,-2.4459488971391163,-2.76443656684866,29.167100792000003
INFY,IT,2019-07-15,2019-07-16,777.0,12,745.458586727292,855.8535331817701,2019-07-25,788.25,time,7,1.4478764478764505,1.123406982432435,30.253532958
SUNPHARMA,Pharma,2019-07-15,2019-07-16,420.8,22,391.5881410685486,493.82964732862854,2019-07-25,425.8,time,7,1.18821292775666,0.864142364163504,30.001156495200007
CANFINHOME,Unknown:CANFINHOME,2019-07-23,2019-07-24,409.0,22,381.38050833923614,478.0487291519096,2019-07-31,381.38050833923614,stop,5,-6.752931946397034,-7.0648031167647485,28.062167909686934
ASIANPAINT,FMCG,2019-07-22,2019-07-23,1409.0,6,1349.6100562924898,1557.4748592687754,2019-08-01,1515.0,time,7,7.523066004258339,7.189263674662881,28.219648944000003
PIDILITIND,Chemicals,2019-07-24,2019-07-25,1238.0,7,1182.068598888899,1377.8285027777524,2019-08-05,1249.0,time,7,0.8885298869143687,0.5649197042003138,28.044058434
AMARAJABAT,Unknown:AMARAJABAT,2019-07-31,2019-08-01,679.4,13,641.2274739341159,774.8313151647102,2019-08-05,641.2274739341159,stop,2,-5.618564331157505,-5.932178146549308,27.69899940303484
ICICIGI,Insurance,2019-07-26,2019-07-29,1144.0,8,1064.067840349465,1343.8303991263374,2019-08-07,1174.0,time,7,2.622377622377625,2.2961038576923105,29.860574944000007
BERGEPAINT,Unknown:BERGEPAINT,2019-07-30,2019-07-31,330.7,28,314.6271942977911,370.8820142555223,2019-08-09,356.0,time,7,7.650438463864528,7.316440461384939,30.926879037600003
LIQUIDBEES,Unknown:LIQUIDBEES,2019-08-07,2019-08-08,1000.0,9,998.8504226520014,1002.8739433699965,2019-08-09,1002.8739433699965,target,1,0.2873943369996468,-0.03529236565310484,29.041803238747647
TCS,IT,2019-08-08,2019-08-09,2260.0,4,2165.6752302094224,2495.8119244764443,2019-08-16,2165.6752302094224,stop,3,-4.1736623801140516,-4.489495891450498,28.551349424814802
GODFRYPHLP,FMCG,2019-08-13,2019-08-14,897.0,10,828.5910070913926,1068.0224822715186,2019-08-19,1068.0224822715186,target,2,19.066051535286356,18.71451657120051,31.53268627850046
RNAM,Unknown:RNAM,2019-08-13,2019-08-14,249.7,36,239.1400893014486,276.09977674637844,2019-08-21,239.1400893014486,stop,4,-4.229039126372203,-4.5447875665112525,28.383258780979457
HEXAWARE,Unknown:HEXAWARE,2019-08-08,2019-08-09,378.0,24,352.762361908819,441.09409522795244,2019-08-22,381.6,time,7,0.952380952380949,0.6286726799999967,29.366814470400005
IGL,Oil & Gas,2019-08-16,2019-08-19,329.1,28,309.4698808851567,378.1752977871082,2019-08-28,331.7,time,7,0.7900334244910212,0.46657455460344904,29.806087942400005
VENKEYS,Unknown:VENKEYS,2019-08-20,2019-08-21,1478.0,6,1313.9140012798277,1888.2149968004305,2019-08-30,1370.1,time,7,-7.300405953991884,-7.611436080554807,27.5821516236
PETRONET,Unknown:PETRONET,2019-08-26,2019-08-27,248.25,37,235.0487179262646,281.2532051843385,2019-09-06,267.1,time,7,7.59315206445117,7.259242066827806,30.670468056700003
TECHM,IT,2019-08-26,2019-08-27,689.85,13,654.1922067129751,778.9944832175623,2019-09-06,716.35,time,7,3.841414800318921,3.513268319025886,29.428340515600006
DMART,Retail,2019-08-27,2019-08-28,1528.3,6,1441.4452064215952,1745.4369839460117,2019-09-09,1529.0,time,7,0.04580252568213705,-0.27651303734868155,29.555692498800003
VIPIND,Unknown:VIPIND,2019-08-27,2019-08-28,420.0,22,384.6555298781438,508.36117530464054,2019-09-09,398.8,time,7,-5.047619047619046,-5.362109963999998,29.0589606736
COLPAL,FMCG,2019-08-29,2019-08-30,1257.7,7,1206.1662520752,1386.5343698120005,2019-09-12,1239.9,time,7,-1.4152818637194864,-1.735352870923112,28.178731403200004
ICICIPRULI,Unknown:ICICIPRULI,2019-09-06,2019-09-09,441.45,21,415.14124298614854,507.22189253462864,2019-09-13,415.14124298614854,stop,3,-5.9596232900331785,-6.272713161784824,29.02484001580042
DBL,Unknown:DBL,2019-09-09,2019-09-11,429.0,22,379.7801379730019,552.0496550674952,2019-09-20,413.5,time,7,-3.6130536130536184,-3.9297483461538514,29.889648910000002
JUBILANT,Unknown:JUBILANT,2019-09-09,2019-09-11,490.0,19,448.91609804146185,592.7097548963453,2019-09-20,525.85,time,7,7.316326530612249,6.982841799571433,31.047428459899997
AMARAJABAT,Unknown:AMARAJABAT,2019-09-11,2019-09-12,658.0,14,619.3798515624799,754.5503710938003,2019-09-20,619.3798515624799,stop,6,-5.869323470747744,-6.182552063429571,28.85461795784991
BALRAMCHIN,Unknown:BALRAMCHIN,2019-09-11,2019-09-12,149.4,63,133.5226493048355,189.09337673791123,2019-09-23,161.0,time,7,7.764390896921003,7.430217837750989,31.453036675200003
IOC,Oil & Gas,2019-09-13,2019-09-16,126.0,73,116.18882899115388,150.52792752211528,2019-09-25,138.25,time,7,9.722222222222232,9.385041491666676,31.0138835965
ACC,Unknown:ACC,2019-09-20,2019-09-23,1655.0,5,1558.143068562885,1897.1423285927874,2019-10-01,1558.143068562885,stop,6,-5.8523825641761285,-6.165637181919094,25.921819618230433
AMBUJACEM,Cement,2019-09-20,2019-09-23,216.2,43,201.9270185035117,251.8824537412207,2019-10-01,201.9270185035117,stop,6,-6.601749073306329,-6.9138524947344395,29.015006676485758
APOLLOTYRE,Unknown:APOLLOTYRE,2019-09-20,2019-09-23,187.5,50,175.11579818541273,218.46050453646816,2019-10-01,175.11579818541273,stop,6,-6.604907634446544,-6.917006203610908,29.259240859159192
ASHOKLEY,Auto,2019-09-20,2019-09-23,72.6,130,65.29887058487074,90.85282353782313,2019-10-01,65.29887058487074,stop,6,-10.056652086954898,-10.363447996545963,28.955397947204776
